Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 6.148 6.116 6.052 5.968 5.864 5.743 5.605 5.449 5.276 5.087 4.876 4.647 4.391 4.113 3.809 3.474 3.103 2.707 2.215 1.531 0.000 0.000 0.000 0.000 0.000
    1 6.169 6.137 6.074 5.989 5.887 5.766 5.629 5.475 5.302 5.111 4.904 4.672 4.421 4.146 3.840 3.508 3.139 2.747 2.267 1.602 0.000 0.000 0.000 0.000 0.000
    2 6.189 6.157 6.095 6.011 5.908 5.788 5.651 5.498 5.327 5.139 4.930 4.703 4.455 4.179 3.882 3.553 3.191 2.810 2.344 1.712 0.468 0.000 0.000 0.000 0.000
    3 6.208 6.176 6.114 6.030 5.929 5.810 5.674 5.521 5.351 5.164 4.961 4.736 4.490 4.223 3.929 3.609 3.258 2.883 2.441 1.852 0.881 0.000 0.000 0.000 0.000
    4 6.226 6.194 6.132 6.049 5.947 5.828 5.693 5.543 5.374 5.191 4.988 4.770 4.529 4.267 3.978 3.668 3.330 2.970 2.546 2.006 1.196 0.000 0.000 0.000 0.000
    5 6.242 6.210 6.148 6.065 5.964 5.846 5.713 5.563 5.398 5.216 5.017 4.801 4.565 4.309 4.035 3.731 3.403 3.054 2.660 2.160 1.464 0.000 0.000 0.000 0.000
    6 6.255 6.223 6.161 6.078 5.978 5.860 5.727 5.579 5.417 5.237 5.042 4.831 4.602 4.351 4.083 3.788 3.474 3.135 2.761 2.301 1.693 0.546 0.000 0.000 0.000
    7 6.266 6.233 6.171 6.088 5.987 5.872 5.739 5.593 5.433 5.255 5.064 4.857 4.634 4.391 4.126 3.840 3.539 3.211 2.852 2.428 1.872 1.011 0.000 0.000 0.000
    8 6.273 6.240 6.178 6.095 5.994 5.879 5.748 5.602 5.445 5.271 5.082 4.878 4.657 4.420 4.163 3.884 3.589 3.269 2.928 2.525 2.019 1.278 0.000 0.000 0.000
    9 6.277 6.244 6.181 6.098 5.998 5.883 5.754 5.609 5.452 5.280 5.093 4.891 4.675 4.443 4.189 3.917 3.626 3.316 2.983 2.599 2.119 1.454 0.000 0.000 0.000
