Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 11.111 9.797 8.505 6.772 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.765 12.765 12.765 12.765 12.765 12.765 12.765 12.765 12.765 12.765 12.765 12.765 12.765 12.765 11.101 9.796 8.507 6.782 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.760 12.760 12.760 12.760 12.760 12.760 12.760 12.760 12.760 12.760 12.760 12.760 12.760 12.760 11.027 9.750 8.471 6.739 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.755 12.755 12.755 12.755 12.755 12.755 12.755 12.755 12.755 12.755 12.755 12.755 12.755 12.755 10.905 9.663 8.396 6.671 0.942 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.751 12.751 12.751 12.751 12.751 12.751 12.751 12.751 12.751 12.751 12.751 12.751 12.751 12.751 10.746 9.548 8.305 6.630 2.196 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.747 12.747 12.747 12.747 12.747 12.747 12.747 12.747 12.747 12.747 12.747 12.747 12.747 12.288 10.582 9.430 8.221 6.636 3.043 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.744 12.744 12.744 12.744 12.744 12.744 12.744 12.744 12.744 12.744 12.744 12.744 12.744 11.847 10.424 9.316 8.154 6.680 3.798 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 11.562 10.286 9.225 8.113 6.739 4.422 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 11.364 10.177 9.157 8.085 6.801 4.838 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 11.224 10.098 9.106 8.071 6.851 5.105 0.000 0.000 0.000 0.000 0.000 0.000
   10 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 12.739 11.138 10.049 9.079 8.061 6.884 5.259 0.000 0.000 0.000 0.000 0.000 0.000
   11 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 12.740 11.101 10.027 9.063 8.062 6.903 5.331 0.000 0.000 0.000 0.000 0.000 0.000
   12 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 12.742 11.113 10.030 9.066 8.062 6.906 5.323 0.000 0.000 0.000 0.000 0.000 0.000
   13 12.745 12.745 12.745 12.745 12.745 12.745 12.745 12.745 12.745 12.745 12.745 12.745 12.745 11.171 10.065 9.086 8.068 6.884 5.247 0.000 0.000 0.000 0.000 0.000 0.000
   14 12.749 12.749 12.749 12.749 12.749 12.749 12.749 12.749 12.749 12.749 12.749 12.749 12.749 11.285 10.130 9.122 8.077 6.847 5.081 0.000 0.000 0.000 0.000 0.000 0.000
   15 12.753 12.753 12.753 12.753 12.753 12.753 12.753 12.753 12.753 12.753 12.753 12.753 12.753 11.458 10.222 9.179 8.091 6.789 4.807 0.000 0.000 0.000 0.000 0.000 0.000
   16 12.758 12.758 12.758 12.758 12.758 12.758 12.758 12.758 12.758 12.758 12.758 12.758 12.758 11.715 10.350 9.257 8.122 6.723 4.383 0.000 0.000 0.000 0.000 0.000 0.000
   17 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.088 10.510 9.361 8.169 6.656 3.771 0.000 0.000 0.000 0.000 0.000 0.000
   18 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 12.770 10.696 9.491 8.242 6.600 3.032 0.000 0.000 0.000 0.000 0.000 0.000
   19 12.776 12.776 12.776 12.776 12.776 12.776 12.776 12.776 12.776 12.776 12.776 12.776 12.776 12.776 10.901 9.628 8.335 6.581 2.185 0.000 0.000 0.000 0.000 0.000 0.000
   20 12.783 12.783 12.783 12.783 12.783 12.783 12.783 12.783 12.783 12.783 12.783 12.783 12.783 12.783 11.106 9.764 8.438 6.619 0.860 0.000 0.000 0.000 0.000 0.000 0.000
   21 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 11.277 9.880 8.530 6.697 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   22 12.796 12.796 12.796 12.796 12.796 12.796 12.796 12.796 12.796 12.796 12.796 12.796 12.796 12.796 11.397 9.947 8.587 6.758 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   23 12.802 12.802 12.802 12.802 12.802 12.802 12.802 12.802 12.802 12.802 12.802 12.802 12.802 12.802 11.437 9.965 8.588 6.752 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   24 12.807 12.807 12.807 12.807 12.807 12.807 12.807 12.807 12.807 12.807 12.807 12.807 12.807 12.807 11.393 9.924 8.548 6.691 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   25 12.812 12.812 12.812 12.812 12.812 12.812 12.812 12.812 12.812 12.812 12.812 12.812 12.812 12.812 11.278 9.843 8.470 6.624 0.814 0.000 0.000 0.000 0.000 0.000 0.000
   26 12.816 12.816 12.816 12.816 12.816 12.816 12.816 12.816 12.816 12.816 12.816 12.816 12.816 12.816 11.121 9.733 8.387 6.601 2.167 0.000 0.000 0.000 0.000 0.000 0.000
   27 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 10.955 9.623 8.307 6.625 3.018 0.000 0.000 0.000 0.000 0.000 0.000
   28 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 10.793 9.520 8.248 6.670 3.725 0.000 0.000 0.000 0.000 0.000 0.000
   29 12.821 12.821 12.821 12.821 12.821 12.821 12.821 12.821 12.821 12.821 12.821 12.821 12.821 12.821 10.652 9.432 8.207 6.726 4.256 0.000 0.000 0.000 0.000 0.000 0.000
   30 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.820 12.336 10.542 9.363 8.177 6.779 4.622 0.000 0.000 0.000 0.000 0.000 0.000
   31 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.052 10.453 9.311 8.163 6.825 4.855 0.000 0.000 0.000 0.000 0.000 0.000
   32 12.815 12.815 12.815 12.815 12.815 12.815 12.815 12.815 12.815 12.815 12.815 12.815 12.815 11.879 10.393 9.276 8.154 6.852 5.000 0.000 0.000 0.000 0.000 0.000 0.000
   33 12.811 12.811 12.811 12.811 12.811 12.811 12.811 12.811 12.811 12.811 12.811 12.811 12.811 11.775 10.354 9.253 8.148 6.867 5.072 0.000 0.000 0.000 0.000 0.000 0.000
   34 12.806 12.806 12.806 12.806 12.806 12.806 12.806 12.806 12.806 12.806 12.806 12.806 12.806 11.727 10.332 9.246 8.145 6.875 5.083 0.000 0.000 0.000 0.000 0.000 0.000
   35 12.800 12.800 12.800 12.800 12.800 12.800 12.800 12.800 12.800 12.800 12.800 12.800 12.800 11.718 10.332 9.246 8.145 6.868 5.042 0.000 0.000 0.000 0.000 0.000 0.000
   36 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 11.744 10.347 9.257 8.149 6.847 4.941 0.000 0.000 0.000 0.000 0.000 0.000
   37 12.786 12.786 12.786 12.786 12.786 12.786 12.786 12.786 12.786 12.786 12.786 12.786 12.786 11.799 10.379 9.280 8.155 6.825 4.785 0.000 0.000 0.000 0.000 0.000 0.000
   38 12.779 12.779 12.779 12.779 12.779 12.779 12.779 12.779 12.779 12.779 12.779 12.779 12.779 11.884 10.421 9.310 8.168 6.791 4.560 0.000 0.000 0.000 0.000 0.000 0.000
   39 12.771 12.771 12.771 12.771 12.771 12.771 12.771 12.771 12.771 12.771 12.771 12.771 12.771 11.977 10.470 9.347 8.188 6.768 4.240 0.000 0.000 0.000 0.000 0.000 0.000
   40 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.764 12.113 10.529 9.390 8.211 6.740 3.784 0.000 0.000 0.000 0.000 0.000 0.000
