Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 11.764 10.361 9.278 8.183 6.917 5.098 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 11.681 10.326 9.259 8.174 6.919 5.134 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.798 12.798 12.798 12.798 12.798 12.798 12.798 12.798 12.798 12.798 12.798 12.798 12.798 11.676 10.325 9.257 8.169 6.906 5.080 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 12.793 11.735 10.355 9.272 8.174 6.872 4.916 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 11.880 10.417 9.312 8.183 6.824 4.593 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.785 12.785 12.785 12.785 12.785 12.785 12.785 12.785 12.785 12.785 12.785 12.785 12.785 12.143 10.513 9.377 8.205 6.763 4.044 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.782 12.782 12.782 12.782 12.782 12.782 12.782 12.782 12.782 12.782 12.782 12.782 12.782 12.782 10.644 9.464 8.248 6.695 3.354 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.780 12.780 12.780 12.780 12.780 12.780 12.780 12.780 12.780 12.780 12.780 12.780 12.780 12.780 10.799 9.573 8.317 6.641 2.645 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.778 12.778 12.778 12.778 12.778 12.778 12.778 12.778 12.778 12.778 12.778 12.778 12.778 12.778 10.966 9.693 8.407 6.627 1.865 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.777 12.777 12.777 12.777 12.777 12.777 12.777 12.777 12.777 12.777 12.777 12.777 12.777 12.777 11.129 9.812 8.509 6.686 0.412 0.000 0.000 0.000 0.000 0.000 0.000
