Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 8.652 8.652 8.652 8.442 8.153 7.917 7.687 7.449 7.203 6.941 6.662 6.365 6.047 5.704 5.331 4.920 4.471 3.962 3.368 2.644 1.623 0.000 0.000 0.000 0.000
    1 8.655 8.655 8.655 8.433 8.153 7.920 7.691 7.457 7.211 6.950 6.673 6.378 6.063 5.720 5.353 4.949 4.500 3.997 3.411 2.707 1.724 0.000 0.000 0.000 0.000
    2 8.658 8.658 8.658 8.429 8.156 7.926 7.699 7.465 7.221 6.962 6.685 6.391 6.075 5.735 5.365 4.960 4.515 4.012 3.430 2.722 1.752 0.000 0.000 0.000 0.000
    3 8.661 8.661 8.661 8.429 8.161 7.934 7.707 7.474 7.230 6.973 6.696 6.401 6.086 5.743 5.373 4.966 4.513 4.007 3.421 2.701 1.705 0.000 0.000 0.000 0.000
    4 8.664 8.664 8.664 8.432 8.168 7.943 7.717 7.487 7.241 6.983 6.708 6.411 6.091 5.748 5.371 4.958 4.502 3.986 3.384 2.640 1.585 0.000 0.000 0.000 0.000
    5 8.667 8.667 8.667 8.439 8.177 7.953 7.729 7.499 7.255 6.995 6.716 6.418 6.096 5.744 5.365 4.946 4.477 3.945 3.321 2.537 1.415 0.000 0.000 0.000 0.000
    6 8.670 8.670 8.670 8.446 8.187 7.964 7.743 7.511 7.267 7.006 6.727 6.426 6.098 5.741 5.353 4.924 4.442 3.889 3.235 2.406 1.084 0.000 0.000 0.000 0.000
    7 8.672 8.672 8.672 8.454 8.196 7.975 7.754 7.524 7.279 7.019 6.736 6.430 6.099 5.738 5.341 4.899 4.400 3.826 3.138 2.234 0.476 0.000 0.000 0.000 0.000
    8 8.673 8.673 8.673 8.463 8.204 7.985 7.764 7.534 7.290 7.027 6.742 6.434 6.101 5.731 5.323 4.871 4.356 3.756 3.030 2.041 0.000 0.000 0.000 0.000 0.000
    9 8.674 8.674 8.674 8.470 8.211 7.993 7.774 7.543 7.298 7.036 6.751 6.438 6.100 5.727 5.310 4.847 4.314 3.694 2.926 1.845 0.000 0.000 0.000 0.000 0.000
   10 8.674 8.674 8.674 8.476 8.217 7.998 7.778 7.549 7.303 7.039 6.754 6.441 6.096 5.718 5.298 4.825 4.282 3.640 2.838 1.673 0.000 0.000 0.000 0.000 0.000
   11 8.673 8.673 8.673 8.481 8.219 7.999 7.780 7.551 7.305 7.039 6.752 6.437 6.094 5.713 5.287 4.808 4.255 3.602 2.777 1.556 0.000 0.000 0.000 0.000 0.000
   12 8.672 8.672 8.672 8.483 8.218 7.999 7.778 7.549 7.301 7.037 6.749 6.432 6.087 5.706 5.280 4.801 4.248 3.592 2.763 1.522 0.000 0.000 0.000 0.000 0.000
