Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 11.481 9.560 7.637 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 11.398 9.523 7.629 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 11.405 9.520 7.582 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 13.072 11.508 9.553 7.479 0.311 0.000 0.000 0.000 0.000 0.000 0.000
    4 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 13.068 11.718 9.628 5.848 1.022 0.000 0.000 0.000 0.000 0.000 0.000
    5 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 13.064 12.107 9.755 4.058 1.180 0.000 0.000 0.000 0.000 0.000 0.000
    6 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 13.060 9.951 3.865 1.109 0.000 0.000 0.000 0.000 0.000 0.000
    7 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 13.058 10.216 3.679 0.767 0.000 0.000 0.000 0.000 0.000 0.000
    8 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 10.529 3.465 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    9 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 10.856 3.205 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   10 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 13.055 11.059 3.938 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   11 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 10.598 4.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   12 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 13.059 10.644 4.361 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   13 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 13.062 11.174 3.859 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   14 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 13.066 10.911 3.268 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   15 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 13.070 10.593 3.540 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   16 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 13.076 10.278 3.773 0.932 0.000 0.000 0.000 0.000 0.000 0.000
   17 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 13.082 10.012 3.990 1.258 0.000 0.000 0.000 0.000 0.000 0.000
   18 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 12.433 9.811 4.219 1.353 0.000 0.000 0.000 0.000 0.000 0.000
   19 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 11.935 9.679 6.367 1.254 0.000 0.000 0.000 0.000 0.000 0.000
   20 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 11.687 9.603 7.468 0.853 0.000 0.000 0.000 0.000 0.000 0.000
   21 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 13.110 11.570 9.569 7.585 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   22 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 13.117 11.549 9.564 7.638 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   23 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 13.124 11.617 9.593 7.645 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   24 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 13.130 11.795 9.655 7.611 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   25 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 13.135 12.133 9.748 7.524 0.592 0.000 0.000 0.000 0.000 0.000 0.000
   26 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 9.887 7.339 0.990 0.000 0.000 0.000 0.000 0.000 0.000
   27 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 10.088 4.426 1.022 0.000 0.000 0.000 0.000 0.000 0.000
   28 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 10.347 4.143 0.779 0.000 0.000 0.000 0.000 0.000 0.000
   29 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 13.145 10.661 3.907 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   30 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 13.144 11.004 3.671 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   31 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 13.142 11.320 3.395 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   32 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 13.139 11.558 4.441 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   33 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 11.658 4.740 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   34 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 13.129 11.598 4.768 0.000 0.000 0.000 0.000 0.000 0.000 0.000
