Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 9.812 9.812 9.812 9.812 9.812 9.506 9.032 8.682 8.355 8.029 7.697 7.347 6.975 6.583 6.161 5.697 5.185 4.614 3.952 3.145 2.035 0.000 0.000 0.000 0.000
    1 9.812 9.812 9.812 9.812 9.812 9.479 9.023 8.680 8.355 8.030 7.700 7.353 6.986 6.594 6.175 5.714 5.208 4.645 3.991 3.195 2.120 0.000 0.000 0.000 0.000
    2 9.813 9.813 9.813 9.813 9.813 9.465 9.022 8.680 8.360 8.037 7.705 7.361 6.996 6.604 6.181 5.727 5.218 4.651 4.001 3.205 2.129 0.000 0.000 0.000 0.000
    3 9.813 9.813 9.813 9.813 9.813 9.462 9.024 8.687 8.365 8.046 7.716 7.369 7.001 6.609 6.190 5.726 5.217 4.647 3.981 3.177 2.068 0.000 0.000 0.000 0.000
    4 9.814 9.814 9.814 9.814 9.814 9.469 9.033 8.697 8.379 8.058 7.728 7.378 7.011 6.617 6.188 5.718 5.203 4.618 3.937 3.105 1.928 0.000 0.000 0.000 0.000
    5 9.814 9.814 9.814 9.814 9.814 9.482 9.046 8.712 8.392 8.070 7.740 7.389 7.016 6.619 6.182 5.706 5.176 4.574 3.866 2.986 1.690 0.000 0.000 0.000 0.000
    6 9.815 9.815 9.815 9.815 9.815 9.505 9.062 8.727 8.410 8.088 7.753 7.402 7.024 6.619 6.179 5.690 5.144 4.516 3.779 2.835 1.370 0.000 0.000 0.000 0.000
    7 9.815 9.815 9.815 9.815 9.815 9.530 9.080 8.745 8.428 8.105 7.771 7.415 7.035 6.621 6.172 5.671 5.105 4.453 3.670 2.649 0.754 0.000 0.000 0.000 0.000
    8 9.816 9.816 9.816 9.816 9.816 9.557 9.097 8.762 8.443 8.120 7.786 7.428 7.043 6.624 6.163 5.650 5.067 4.386 3.557 2.433 0.000 0.000 0.000 0.000 0.000
    9 9.816 9.816 9.816 9.816 9.816 9.587 9.113 8.777 8.458 8.135 7.797 7.439 7.049 6.625 6.155 5.632 5.029 4.319 3.445 2.212 0.000 0.000 0.000 0.000 0.000
   10 9.816 9.816 9.816 9.816 9.816 9.615 9.125 8.786 8.467 8.146 7.808 7.445 7.055 6.628 6.150 5.617 5.001 4.270 3.347 2.009 0.000 0.000 0.000 0.000 0.000
   11 9.816 9.816 9.816 9.816 9.816 9.638 9.133 8.793 8.475 8.152 7.811 7.448 7.056 6.627 6.145 5.603 4.980 4.235 3.292 1.883 0.000 0.000 0.000 0.000 0.000
   12 9.816 9.816 9.816 9.816 9.816 9.651 9.135 8.794 8.473 8.151 7.810 7.447 7.055 6.620 6.142 5.597 4.970 4.225 3.279 1.857 0.000 0.000 0.000 0.000 0.000
   13 9.816 9.816 9.816 9.816 9.816 9.655 9.133 8.791 8.469 8.143 7.802 7.437 7.045 6.615 6.137 5.598 4.978 4.240 3.313 1.944 0.000 0.000 0.000 0.000 0.000
