Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 10.605 9.095 7.159 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 12.899 10.603 9.104 7.179 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 12.894 10.529 9.046 7.088 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.403 10.404 8.941 6.922 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.884 12.884 12.884 12.884 12.884 12.884 12.884 12.884 12.884 12.884 12.884 12.884 12.884 12.884 11.946 10.239 8.809 6.797 1.123 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 11.595 10.064 8.678 6.773 1.974 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.877 12.877 12.877 12.877 12.877 12.877 12.877 12.877 12.877 12.877 12.877 12.877 12.877 12.877 11.310 9.903 8.573 6.820 2.564 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 11.079 9.769 8.496 6.897 3.114 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 10.903 9.665 8.446 6.968 3.819 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 10.777 9.588 8.416 7.032 4.610 0.000 0.000 0.000 0.000 0.000 0.000
   10 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.774 10.699 9.544 8.402 7.075 5.001 0.000 0.000 0.000 0.000 0.000 0.000
   11 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.873 12.475 10.666 9.524 8.396 7.094 5.153 0.000 0.000 0.000 0.000 0.000 0.000
   12 12.875 12.875 12.875 12.875 12.875 12.875 12.875 12.875 12.875 12.875 12.875 12.875 12.875 12.528 10.676 9.525 8.399 7.094 5.142 0.000 0.000 0.000 0.000 0.000 0.000
   13 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 10.725 9.558 8.410 7.072 4.983 0.000 0.000 0.000 0.000 0.000 0.000
   14 12.882 12.882 12.882 12.882 12.882 12.882 12.882 12.882 12.882 12.882 12.882 12.882 12.882 12.882 10.820 9.613 8.428 7.026 4.584 0.000 0.000 0.000 0.000 0.000 0.000
   15 12.887 12.887 12.887 12.887 12.887 12.887 12.887 12.887 12.887 12.887 12.887 12.887 12.887 12.887 10.976 9.696 8.461 6.962 3.837 0.000 0.000 0.000 0.000 0.000 0.000
   16 12.892 12.892 12.892 12.892 12.892 12.892 12.892 12.892 12.892 12.892 12.892 12.892 12.892 12.892 11.184 9.817 8.515 6.880 3.167 0.000 0.000 0.000 0.000 0.000 0.000
   17 12.898 12.898 12.898 12.898 12.898 12.898 12.898 12.898 12.898 12.898 12.898 12.898 12.898 12.898 11.466 9.972 8.599 6.792 2.624 0.000 0.000 0.000 0.000 0.000 0.000
