Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 10.848 10.848 10.848 10.848 10.848 10.848 10.848 10.590 9.814 9.323 8.881 8.443 7.999 7.537 7.042 6.506 5.920 5.257 4.489 3.537 2.187 0.000 0.000 0.000 0.000
    1 10.846 10.846 10.846 10.846 10.846 10.846 10.846 10.520 9.794 9.312 8.874 8.441 8.002 7.540 7.047 6.518 5.935 5.283 4.523 3.587 2.275 0.000 0.000 0.000 0.000
    2 10.844 10.844 10.844 10.844 10.844 10.844 10.844 10.492 9.788 9.312 8.876 8.445 8.006 7.544 7.055 6.525 5.943 5.287 4.523 3.591 2.270 0.000 0.000 0.000 0.000
    3 10.843 10.843 10.843 10.843 10.843 10.843 10.843 10.492 9.793 9.319 8.882 8.451 8.012 7.550 7.061 6.525 5.935 5.276 4.501 3.545 2.178 0.000 0.000 0.000 0.000
    4 10.841 10.841 10.841 10.841 10.841 10.841 10.841 10.520 9.810 9.334 8.898 8.465 8.023 7.558 7.060 6.521 5.925 5.248 4.446 3.450 1.976 0.000 0.000 0.000 0.000
    5 10.840 10.840 10.840 10.840 10.840 10.840 10.840 10.576 9.834 9.354 8.917 8.484 8.037 7.568 7.066 6.512 5.902 5.200 4.368 3.311 1.686 0.000 0.000 0.000 0.000
    6 10.839 10.839 10.839 10.839 10.839 10.839 10.839 10.677 9.864 9.381 8.942 8.507 8.055 7.583 7.070 6.506 5.873 5.146 4.268 3.128 1.115 0.000 0.000 0.000 0.000
    7 10.839 10.839 10.839 10.839 10.839 10.839 10.839 10.839 9.898 9.413 8.968 8.533 8.079 7.596 7.071 6.494 5.841 5.081 4.151 2.894 0.000 0.000 0.000 0.000 0.000
    8 10.839 10.839 10.839 10.839 10.839 10.839 10.839 10.839 9.934 9.442 8.997 8.557 8.100 7.612 7.078 6.486 5.813 5.014 4.023 2.617 0.000 0.000 0.000 0.000 0.000
    9 10.838 10.838 10.838 10.838 10.838 10.838 10.838 10.838 9.968 9.469 9.022 8.580 8.120 7.626 7.087 6.482 5.785 4.954 3.899 2.321 0.000 0.000 0.000 0.000 0.000
   10 10.839 10.839 10.839 10.839 10.839 10.839 10.839 10.839 9.994 9.491 9.042 8.597 8.133 7.639 7.090 6.480 5.766 4.907 3.794 2.035 0.000 0.000 0.000 0.000 0.000
   11 10.839 10.839 10.839 10.839 10.839 10.839 10.839 10.839 10.011 9.503 9.054 8.607 8.143 7.643 7.092 6.475 5.755 4.877 3.727 1.843 0.000 0.000 0.000 0.000 0.000
   12 10.840 10.840 10.840 10.840 10.840 10.840 10.840 10.840 10.018 9.507 9.056 8.607 8.143 7.644 7.092 6.469 5.745 4.868 3.717 1.821 0.000 0.000 0.000 0.000 0.000
   13 10.841 10.841 10.841 10.841 10.841 10.841 10.841 10.841 10.012 9.500 9.049 8.598 8.134 7.631 7.086 6.466 5.749 4.882 3.762 1.971 0.000 0.000 0.000 0.000 0.000
   14 10.842 10.842 10.842 10.842 10.842 10.842 10.842 10.842 9.997 9.485 9.032 8.581 8.116 7.620 7.074 6.460 5.760 4.922 3.847 2.225 0.000 0.000 0.000 0.000 0.000
   15 10.843 10.843 10.843 10.843 10.843 10.843 10.843 10.843 9.975 9.463 9.008 8.559 8.095 7.601 7.061 6.460 5.776 4.967 3.956 2.511 0.000 0.000 0.000 0.000 0.000
   16 10.845 10.845 10.845 10.845 10.845 10.845 10.845 10.845 9.947 9.437 8.982 8.533 8.071 7.580 7.049 6.464 5.797 5.027 4.077 2.776 0.000 0.000 0.000 0.000 0.000
   17 10.847 10.847 10.847 10.847 10.847 10.847 10.847 10.847 9.919 9.410 8.955 8.509 8.049 7.564 7.039 6.465 5.822 5.081 4.188 3.003 0.640 0.000 0.000 0.000 0.000
   18 10.849 10.849 10.849 10.849 10.849 10.849 10.849 10.849 9.893 9.387 8.930 8.485 8.029 7.545 7.032 6.471 5.845 5.132 4.285 3.193 1.376 0.000 0.000 0.000 0.000
   19 10.851 10.851 10.851 10.851 10.851 10.851 10.851 10.851 9.874 9.365 8.910 8.466 8.009 7.534 7.027 6.475 5.866 5.170 4.357 3.325 1.750 0.000 0.000 0.000 0.000
   20 10.853 10.853 10.853 10.853 10.853 10.853 10.853 10.853 9.861 9.352 8.895 8.449 7.999 7.524 7.023 6.475 5.875 5.198 4.407 3.419 1.963 0.000 0.000 0.000 0.000
   21 10.856 10.856 10.856 10.856 10.856 10.856 10.856 10.856 9.860 9.345 8.889 8.442 7.990 7.515 7.017 6.475 5.879 5.208 4.429 3.465 2.072 0.000 0.000 0.000 0.000
   22 10.858 10.858 10.858 10.858 10.858 10.858 10.858 10.858 9.869 9.348 8.887 8.438 7.981 7.511 7.010 6.468 5.872 5.202 4.430 3.466 2.082 0.000 0.000 0.000 0.000
   23 10.861 10.861 10.861 10.861 10.861 10.861 10.861 10.861 9.892 9.360 8.894 8.441 7.980 7.504 7.003 6.458 5.855 5.185 4.398 3.422 2.000 0.000 0.000 0.000 0.000
   24 10.863 10.863 10.863 10.863 10.863 10.863 10.863 10.863 9.924 9.381 8.906 8.448 7.984 7.503 6.993 6.442 5.832 5.144 4.342 3.334 1.819 0.000 0.000 0.000 0.000
   25 10.865 10.865 10.865 10.865 10.865 10.865 10.865 10.865 9.967 9.409 8.926 8.461 7.992 7.503 6.981 6.420 5.798 5.092 4.259 3.203 1.510 0.000 0.000 0.000 0.000
   26 10.867 10.867 10.867 10.867 10.867 10.867 10.867 10.867 10.022 9.443 8.951 8.480 8.003 7.507 6.976 6.400 5.760 5.029 4.156 3.023 1.011 0.000 0.000 0.000 0.000
