Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 5.633 5.610 5.562 5.496 5.417 5.325 5.220 5.107 4.982 4.850 4.713 4.572 4.421 4.251 4.061 3.848 3.607 3.332 3.018 2.643 2.183 1.575 0.409 0.000 0.000
    1 5.659 5.636 5.588 5.522 5.444 5.352 5.248 5.135 5.012 4.880 4.742 4.604 4.455 4.287 4.097 3.887 3.650 3.382 3.068 2.704 2.262 1.677 0.722 0.000 0.000
    2 5.684 5.661 5.613 5.549 5.470 5.378 5.275 5.163 5.038 4.908 4.771 4.637 4.485 4.318 4.128 3.918 3.684 3.417 3.107 2.743 2.309 1.737 0.843 0.000 0.000
    3 5.708 5.685 5.638 5.573 5.495 5.402 5.300 5.188 5.065 4.933 4.796 4.660 4.511 4.343 4.154 3.941 3.706 3.435 3.125 2.761 2.323 1.747 0.848 0.000 0.000
    4 5.730 5.707 5.660 5.596 5.517 5.427 5.322 5.210 5.087 4.955 4.817 4.681 4.530 4.360 4.170 3.954 3.716 3.441 3.128 2.756 2.305 1.715 0.736 0.000 0.000
    5 5.750 5.727 5.680 5.616 5.538 5.446 5.343 5.229 5.104 4.974 4.834 4.698 4.544 4.372 4.179 3.963 3.715 3.437 3.115 2.732 2.264 1.643 0.476 0.000 0.000
    6 5.767 5.744 5.698 5.634 5.555 5.463 5.359 5.246 5.119 4.985 4.850 4.707 4.553 4.380 4.182 3.963 3.708 3.423 3.090 2.691 2.201 1.527 0.000 0.000 0.000
    7 5.780 5.758 5.711 5.648 5.568 5.476 5.373 5.257 5.132 4.996 4.859 4.716 4.557 4.379 4.181 3.952 3.694 3.398 3.050 2.638 2.120 1.415 0.000 0.000 0.000
    8 5.789 5.767 5.721 5.657 5.579 5.485 5.381 5.265 5.138 5.001 4.861 4.718 4.557 4.379 4.172 3.940 3.672 3.369 3.009 2.573 2.017 1.232 0.000 0.000 0.000
    9 5.794 5.772 5.726 5.662 5.582 5.490 5.385 5.268 5.140 5.005 4.863 4.718 4.557 4.370 4.163 3.922 3.651 3.337 2.966 2.514 1.924 1.023 0.000 0.000 0.000
