Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 11.436 11.436 11.436 11.436 11.436 11.436 11.436 11.436 11.436 10.989 10.131 9.529 8.963 8.383 7.759 7.060 6.252 5.250 3.887 1.099 0.000 0.000 0.000 0.000 0.000
    1 11.433 11.433 11.433 11.433 11.433 11.433 11.433 11.433 11.433 10.952 10.123 9.527 8.962 8.384 7.766 7.070 6.259 5.261 3.894 1.057 0.000 0.000 0.000 0.000 0.000
    2 11.430 11.430 11.430 11.430 11.430 11.430 11.430 11.430 11.430 10.886 10.095 9.506 8.950 8.378 7.760 7.071 6.270 5.289 3.960 1.439 0.000 0.000 0.000 0.000 0.000
    3 11.428 11.428 11.428 11.428 11.428 11.428 11.428 11.428 11.428 10.800 10.053 9.475 8.927 8.360 7.747 7.074 6.290 5.341 4.085 1.948 0.000 0.000 0.000 0.000 0.000
    4 11.425 11.425 11.425 11.425 11.425 11.425 11.425 11.425 11.425 10.704 10.001 9.435 8.891 8.330 7.732 7.071 6.314 5.408 4.242 2.432 0.000 0.000 0.000 0.000 0.000
    5 11.423 11.423 11.423 11.423 11.423 11.423 11.423 11.423 11.423 10.609 9.942 9.387 8.854 8.306 7.717 7.074 6.341 5.485 4.403 2.849 0.000 0.000 0.000 0.000 0.000
    6 11.421 11.421 11.421 11.421 11.421 11.421 11.421 11.421 11.421 10.522 9.884 9.342 8.818 8.279 7.704 7.078 6.378 5.557 4.559 3.190 0.000 0.000 0.000 0.000 0.000
    7 11.420 11.420 11.420 11.420 11.420 11.420 11.420 11.420 11.420 10.443 9.832 9.302 8.785 8.256 7.694 7.086 6.410 5.629 4.694 3.466 1.246 0.000 0.000 0.000 0.000
    8 11.419 11.419 11.419 11.419 11.419 11.419 11.419 11.419 11.419 10.381 9.787 9.266 8.757 8.239 7.688 7.096 6.440 5.691 4.806 3.674 1.875 0.000 0.000 0.000 0.000
    9 11.419 11.419 11.419 11.419 11.419 11.419 11.419 11.419 11.419 10.334 9.755 9.239 8.737 8.224 7.685 7.105 6.466 5.742 4.891 3.827 2.236 0.000 0.000 0.000 0.000
