Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 10.777 9.575 8.329 6.658 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.713 12.713 12.713 12.713 12.713 12.713 12.713 12.713 12.713 12.713 12.713 12.713 12.713 12.713 10.770 9.574 8.332 6.667 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.708 12.708 12.708 12.708 12.708 12.708 12.708 12.708 12.708 12.708 12.708 12.708 12.708 12.708 10.709 9.529 8.300 6.639 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.704 12.704 12.704 12.704 12.704 12.704 12.704 12.704 12.704 12.704 12.704 12.704 12.704 12.381 10.604 9.452 8.233 6.590 1.554 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.699 12.699 12.699 12.699 12.699 12.699 12.699 12.699 12.699 12.699 12.699 12.699 12.699 11.961 10.472 9.352 8.156 6.563 2.649 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.696 12.696 12.696 12.696 12.696 12.696 12.696 12.696 12.696 12.696 12.696 12.696 12.696 11.651 10.328 9.245 8.083 6.580 3.481 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.693 12.693 12.693 12.693 12.693 12.693 12.693 12.693 12.693 12.693 12.693 12.693 12.693 11.401 10.191 9.145 8.030 6.624 4.146 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.690 12.690 12.690 12.690 12.690 12.690 12.690 12.690 12.690 12.690 12.690 12.690 12.690 11.199 10.073 9.065 7.990 6.680 4.622 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 11.043 9.975 9.004 7.969 6.742 4.946 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 10.931 9.906 8.963 7.962 6.792 5.164 0.764 0.000 0.000 0.000 0.000 0.000
   10 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 12.688 10.863 9.864 8.934 7.960 6.826 5.296 1.460 0.000 0.000 0.000 0.000 0.000
   11 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 12.689 10.832 9.842 8.925 7.957 6.841 5.360 1.840 0.000 0.000 0.000 0.000 0.000
   12 12.691 12.691 12.691 12.691 12.691 12.691 12.691 12.691 12.691 12.691 12.691 12.691 12.691 10.841 9.845 8.928 7.960 6.840 5.352 1.844 0.000 0.000 0.000 0.000 0.000
   13 12.694 12.694 12.694 12.694 12.694 12.694 12.694 12.694 12.694 12.694 12.694 12.694 12.694 10.890 9.876 8.944 7.959 6.821 5.284 1.489 0.000 0.000 0.000 0.000 0.000
   14 12.697 12.697 12.697 12.697 12.697 12.697 12.697 12.697 12.697 12.697 12.697 12.697 12.697 10.982 9.931 8.973 7.965 6.784 5.140 0.834 0.000 0.000 0.000 0.000 0.000
   15 12.702 12.702 12.702 12.702 12.702 12.702 12.702 12.702 12.702 12.702 12.702 12.702 12.702 11.118 10.015 9.026 7.978 6.729 4.915 0.000 0.000 0.000 0.000 0.000 0.000
   16 12.707 12.707 12.707 12.707 12.707 12.707 12.707 12.707 12.707 12.707 12.707 12.707 12.707 11.310 10.123 9.093 7.998 6.667 4.578 0.000 0.000 0.000 0.000 0.000 0.000
   17 12.712 12.712 12.712 12.712 12.712 12.712 12.712 12.712 12.712 12.712 12.712 12.712 12.712 11.565 10.266 9.186 8.037 6.599 4.091 0.000 0.000 0.000 0.000 0.000 0.000
   18 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 12.718 11.914 10.425 9.298 8.096 6.546 3.426 0.000 0.000 0.000 0.000 0.000 0.000
   19 12.725 12.725 12.725 12.725 12.725 12.725 12.725 12.725 12.725 12.725 12.725 12.725 12.725 12.567 10.600 9.420 8.177 6.520 2.590 0.000 0.000 0.000 0.000 0.000 0.000
   20 12.731 12.731 12.731 12.731 12.731 12.731 12.731 12.731 12.731 12.731 12.731 12.731 12.731 12.731 10.768 9.542 8.269 6.540 1.440 0.000 0.000 0.000 0.000 0.000 0.000
