Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 13.056 10.482 4.658 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 13.051 10.490 4.644 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 13.045 10.386 4.356 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 13.040 10.199 3.333 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    4 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 13.035 12.457 9.951 3.663 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    5 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 13.031 11.812 9.701 3.979 0.916 0.000 0.000 0.000 0.000 0.000 0.000
    6 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 13.028 11.385 9.483 4.365 1.397 0.000 0.000 0.000 0.000 0.000 0.000
    7 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 13.025 11.066 9.317 6.947 1.627 0.000 0.000 0.000 0.000 0.000 0.000
    8 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 13.024 10.835 9.203 7.202 1.689 0.000 0.000 0.000 0.000 0.000 0.000
    9 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 13.023 10.671 9.132 7.336 1.589 0.000 0.000 0.000 0.000 0.000 0.000
