Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 13.112 10.018 6.456 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 9.973 6.527 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 13.100 9.973 6.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 13.095 10.025 5.309 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    4 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 13.090 10.135 3.737 0.346 0.000 0.000 0.000 0.000 0.000 0.000
    5 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 10.328 3.715 0.861 0.000 0.000 0.000 0.000 0.000 0.000
    6 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 13.083 10.611 3.660 0.912 0.000 0.000 0.000 0.000 0.000 0.000
    7 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 13.080 11.003 3.564 0.670 0.000 0.000 0.000 0.000 0.000 0.000
    8 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 10.216 3.424 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    9 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 10.387 3.227 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   10 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 13.078 11.119 4.258 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   11 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 13.079 11.025 4.658 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   12 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 13.081 11.034 4.655 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   13 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 13.084 11.152 4.213 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   14 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 10.612 3.290 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   15 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 13.093 10.436 3.503 0.000 0.000 0.000 0.000 0.000 0.000 0.000
