Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 11.082 11.082 11.082 11.082 11.082 11.082 11.082 11.082 10.315 9.710 9.214 8.745 8.274 7.785 7.272 6.717 6.104 5.416 4.611 3.607 2.151 0.000 0.000 0.000 0.000
    1 11.080 11.080 11.080 11.080 11.080 11.080 11.080 11.080 10.284 9.692 9.204 8.740 8.270 7.787 7.277 6.725 6.119 5.435 4.636 3.656 2.239 0.000 0.000 0.000 0.000
    2 11.078 11.078 11.078 11.078 11.078 11.078 11.078 11.078 10.272 9.689 9.203 8.741 8.274 7.791 7.280 6.729 6.123 5.438 4.644 3.656 2.234 0.000 0.000 0.000 0.000
    3 11.076 11.076 11.076 11.076 11.076 11.076 11.076 11.076 10.276 9.695 9.211 8.749 8.285 7.802 7.286 6.731 6.118 5.427 4.617 3.605 2.124 0.000 0.000 0.000 0.000
    4 11.074 11.074 11.074 11.074 11.074 11.074 11.074 11.074 10.298 9.713 9.227 8.765 8.295 7.809 7.290 6.730 6.104 5.398 4.558 3.506 1.901 0.000 0.000 0.000 0.000
    5 11.072 11.072 11.072 11.072 11.072 11.072 11.072 11.072 10.331 9.739 9.251 8.787 8.315 7.821 7.296 6.720 6.084 5.353 4.479 3.359 1.547 0.000 0.000 0.000 0.000
    6 11.071 11.071 11.071 11.071 11.071 11.071 11.071 11.071 10.376 9.773 9.282 8.810 8.336 7.839 7.300 6.717 6.057 5.294 4.375 3.158 0.788 0.000 0.000 0.000 0.000
    7 11.071 11.071 11.071 11.071 11.071 11.071 11.071 11.071 10.431 9.809 9.313 8.841 8.362 7.858 7.312 6.711 6.028 5.232 4.253 2.900 0.000 0.000 0.000 0.000 0.000
    8 11.070 11.070 11.070 11.070 11.070 11.070 11.070 11.070 10.489 9.845 9.347 8.871 8.387 7.877 7.323 6.706 6.002 5.168 4.120 2.598 0.000 0.000 0.000 0.000 0.000
    9 11.070 11.070 11.070 11.070 11.070 11.070 11.070 11.070 10.545 9.881 9.377 8.899 8.413 7.897 7.334 6.705 5.981 5.111 3.991 2.256 0.000 0.000 0.000 0.000 0.000
   10 11.070 11.070 11.070 11.070 11.070 11.070 11.070 11.070 10.596 9.907 9.398 8.920 8.431 7.913 7.344 6.702 5.961 5.063 3.878 1.922 0.000 0.000 0.000 0.000 0.000
   11 11.071 11.071 11.071 11.071 11.071 11.071 11.071 11.071 10.631 9.923 9.413 8.931 8.441 7.918 7.349 6.704 5.950 5.036 3.814 1.689 0.000 0.000 0.000 0.000 0.000
   12 11.071 11.071 11.071 11.071 11.071 11.071 11.071 11.071 10.646 9.930 9.416 8.934 8.442 7.918 7.344 6.701 5.947 5.031 3.801 1.659 0.000 0.000 0.000 0.000 0.000
   13 11.073 11.073 11.073 11.073 11.073 11.073 11.073 11.073 10.637 9.923 9.409 8.922 8.430 7.906 7.337 6.695 5.948 5.042 3.850 1.853 0.000 0.000 0.000 0.000 0.000
   14 11.074 11.074 11.074 11.074 11.074 11.074 11.074 11.074 10.611 9.905 9.389 8.904 8.410 7.889 7.323 6.687 5.960 5.079 3.940 2.165 0.000 0.000 0.000 0.000 0.000
   15 11.076 11.076 11.076 11.076 11.076 11.076 11.076 11.076 10.572 9.879 9.365 8.880 8.386 7.870 7.307 6.684 5.970 5.125 4.058 2.492 0.000 0.000 0.000 0.000 0.000
   16 11.078 11.078 11.078 11.078 11.078 11.078 11.078 11.078 10.525 9.848 9.334 8.849 8.360 7.847 7.293 6.682 5.989 5.183 4.180 2.791 0.000 0.000 0.000 0.000 0.000
   17 11.080 11.080 11.080 11.080 11.080 11.080 11.080 11.080 10.479 9.817 9.305 8.820 8.333 7.825 7.280 6.685 6.015 5.238 4.296 3.039 0.000 0.000 0.000 0.000 0.000
   18 11.083 11.083 11.083 11.083 11.083 11.083 11.083 11.083 10.440 9.789 9.277 8.794 8.310 7.805 7.268 6.685 6.036 5.287 4.398 3.242 1.221 0.000 0.000 0.000 0.000
   19 11.086 11.086 11.086 11.086 11.086 11.086 11.086 11.086 10.411 9.765 9.255 8.775 8.291 7.791 7.263 6.687 6.054 5.330 4.475 3.391 1.672 0.000 0.000 0.000 0.000
   20 11.089 11.089 11.089 11.089 11.089 11.089 11.089 11.089 10.399 9.750 9.240 8.758 8.279 7.782 7.257 6.687 6.064 5.358 4.530 3.490 1.920 0.000 0.000 0.000 0.000
   21 11.092 11.092 11.092 11.092 11.092 11.092 11.092 11.092 10.398 9.744 9.232 8.749 8.268 7.774 7.252 6.688 6.065 5.373 4.553 3.541 2.042 0.000 0.000 0.000 0.000
   22 11.095 11.095 11.095 11.095 11.095 11.095 11.095 11.095 10.418 9.752 9.231 8.746 8.265 7.768 7.243 6.682 6.063 5.367 4.554 3.546 2.061 0.000 0.000 0.000 0.000
   23 11.098 11.098 11.098 11.098 11.098 11.098 11.098 11.098 10.458 9.769 9.242 8.751 8.264 7.767 7.236 6.673 6.046 5.348 4.527 3.503 1.979 0.000 0.000 0.000 0.000
   24 11.100 11.100 11.100 11.100 11.100 11.100 11.100 11.100 10.518 9.796 9.259 8.766 8.271 7.767 7.233 6.660 6.024 5.311 4.471 3.415 1.785 0.000 0.000 0.000 0.000
   25 11.103 11.103 11.103 11.103 11.103 11.103 11.103 11.103 10.607 9.836 9.288 8.782 8.283 7.770 7.225 6.643 5.993 5.262 4.388 3.280 1.446 0.000 0.000 0.000 0.000
   26 11.105 11.105 11.105 11.105 11.105 11.105 11.105 11.105 10.730 9.883 9.320 8.808 8.301 7.778 7.224 6.622 5.959 5.196 4.288 3.092 0.849 0.000 0.000 0.000 0.000
   27 11.107 11.107 11.107 11.107 11.107 11.107 11.107 11.107 10.941 9.936 9.361 8.838 8.322 7.790 7.222 6.608 5.921 5.126 4.161 2.860 0.000 0.000 0.000 0.000 0.000
   28 11.108 11.108 11.108 11.108 11.108 11.108 11.108 11.108 11.108 9.993 9.399 8.869 8.345 7.805 7.225 6.592 5.878 5.051 4.026 2.577 0.000 0.000 0.000 0.000 0.000
   29 11.108 11.108 11.108 11.108 11.108 11.108 11.108 11.108 11.108 10.042 9.439 8.902 8.370 7.822 7.230 6.582 5.848 4.974 3.885 2.242 0.000 0.000 0.000 0.000 0.000
   30 11.108 11.108 11.108 11.108 11.108 11.108 11.108 11.108 11.108 10.086 9.472 8.931 8.395 7.838 7.240 6.576 5.819 4.913 3.744 1.860 0.000 0.000 0.000 0.000 0.000
   31 11.107 11.107 11.107 11.107 11.107 11.107 11.107 11.107 11.107 10.119 9.499 8.956 8.417 7.856 7.252 6.578 5.804 4.863 3.629 1.496 0.000 0.000 0.000 0.000 0.000
   32 11.106 11.106 11.106 11.106 11.106 11.106 11.106 11.106 11.106 10.133 9.511 8.970 8.431 7.870 7.263 6.583 5.796 4.833 3.549 1.133 0.000 0.000 0.000 0.000 0.000
   33 11.104 11.104 11.104 11.104 11.104 11.104 11.104 11.104 11.104 10.126 9.512 8.971 8.437 7.878 7.272 6.589 5.801 4.831 3.529 0.959 0.000 0.000 0.000 0.000 0.000
   34 11.101 11.101 11.101 11.101 11.101 11.101 11.101 11.101 11.101 10.107 9.501 8.966 8.435 7.879 7.275 6.598 5.814 4.855 3.560 1.058 0.000 0.000 0.000 0.000 0.000
   35 11.098 11.098 11.098 11.098 11.098 11.098 11.098 11.098 11.098 10.070 9.481 8.950 8.426 7.876 7.281 6.611 5.837 4.895 3.646 1.391 0.000 0.000 0.000 0.000 0.000
   36 11.095 11.095 11.095 11.095 11.095 11.095 11.095 11.095 11.095 10.026 9.451 8.930 8.413 7.868 7.276 6.624 5.864 4.955 3.758 1.778 0.000 0.000 0.000 0.000 0.000
   37 11.091 11.091 11.091 11.091 11.091 11.091 11.091 11.091 10.943 9.974 9.416 8.906 8.394 7.860 7.280 6.634 5.897 5.020 3.896 2.145 0.000 0.000 0.000 0.000 0.000
   38 11.087 11.087 11.087 11.087 11.087 11.087 11.087 11.087 10.723 9.921 9.380 8.877 8.376 7.847 7.281 6.654 5.934 5.093 4.029 2.476 0.000 0.000 0.000 0.000 0.000
   39 11.084 11.084 11.084 11.084 11.084 11.084 11.084 11.084 10.590 9.868 9.342 8.850 8.359 7.838 7.281 6.670 5.976 5.167 4.161 2.756 0.000 0.000 0.000 0.000 0.000
   40 11.080 11.080 11.080 11.080 11.080 11.080 11.080 11.080 10.488 9.820 9.311 8.826 8.339 7.829 7.286 6.685 6.015 5.234 4.285 2.996 0.000 0.000 0.000 0.000 0.000
   41 11.076 11.076 11.076 11.076 11.076 11.076 11.076 11.076 10.405 9.778 9.279 8.803 8.324 7.824 7.287 6.705 6.052 5.296 4.392 3.191 0.941 0.000 0.000 0.000 0.000
   42 11.073 11.073 11.073 11.073 11.073 11.073 11.073 11.073 10.337 9.740 9.250 8.785 8.311 7.820 7.292 6.722 6.086 5.351 4.481 3.357 1.490 0.000 0.000 0.000 0.000
   43 11.070 11.070 11.070 11.070 11.070 11.070 11.070 11.070 10.284 9.709 9.228 8.768 8.301 7.818 7.299 6.738 6.112 5.399 4.555 3.487 1.819 0.000 0.000 0.000 0.000
   44 11.067 11.067 11.067 11.067 11.067 11.067 11.067 11.067 10.243 9.684 9.210 8.757 8.295 7.815 7.304 6.750 6.134 5.439 4.614 3.586 2.045 0.000 0.000 0.000 0.000
   45 11.065 11.065 11.065 11.065 11.065 11.065 11.065 11.065 10.211 9.665 9.198 8.747 8.291 7.815 7.308 6.760 6.154 5.466 4.660 3.656 2.191 0.000 0.000 0.000 0.000
   46 11.064 11.064 11.064 11.064 11.064 11.064 11.064 11.064 10.191 9.655 9.192 8.741 8.289 7.814 7.312 6.767 6.168 5.484 4.689 3.705 2.283 0.000 0.000 0.000 0.000
   47 11.063 11.063 11.063 11.063 11.063 11.063 11.063 11.063 10.181 9.647 9.186 8.740 8.288 7.815 7.314 6.772 6.173 5.495 4.705 3.721 2.320 0.000 0.000 0.000 0.000
   48 11.062 11.062 11.062 11.062 11.062 11.062 11.062 11.062 10.181 9.649 9.188 8.741 8.289 7.817 7.315 6.774 6.171 5.490 4.699 3.715 2.306 0.000 0.000 0.000 0.000
   49 11.062 11.062 11.062 11.062 11.062 11.062 11.062 11.062 10.191 9.657 9.194 8.746 8.291 7.819 7.314 6.769 6.163 5.482 4.680 3.680 2.237 0.000 0.000 0.000 0.000
   50 11.063 11.063 11.063 11.063 11.063 11.063 11.063 11.063 10.212 9.669 9.204 8.755 8.298 7.820 7.313 6.761 6.152 5.460 4.640 3.615 2.096 0.000 0.000 0.000 0.000
   51 11.064 11.064 11.064 11.064 11.064 11.064 11.064 11.064 10.242 9.692 9.221 8.767 8.306 7.825 7.312 6.751 6.131 5.425 4.586 3.521 1.887 0.000 0.000 0.000 0.000
   52 11.066 11.066 11.066 11.066 11.066 11.066 11.066 11.066 10.284 9.719 9.241 8.783 8.317 7.831 7.309 6.742 6.109 5.381 4.515 3.399 1.609 0.000 0.000 0.000 0.000
   53 11.068 11.068 11.068 11.068 11.068 11.068 11.068 11.068 10.336 9.752 9.268 8.804 8.335 7.841 7.307 6.727 6.078 5.329 4.421 3.237 1.080 0.000 0.000 0.000 0.000
   54 11.071 11.071 11.071 11.071 11.071 11.071 11.071 11.071 10.403 9.790 9.296 8.827 8.350 7.848 7.305 6.713 6.047 5.266 4.316 3.027 0.000 0.000 0.000 0.000 0.000
   55 11.073 11.073 11.073 11.073 11.073 11.073 11.073 11.073 10.481 9.833 9.329 8.853 8.367 7.859 7.308 6.700 6.010 5.201 4.194 2.777 0.000 0.000 0.000 0.000 0.000
   56 11.076 11.076 11.076 11.076 11.076 11.076 11.076 11.076 10.574 9.881 9.365 8.878 8.386 7.870 7.311 6.687 5.977 5.128 4.057 2.479 0.000 0.000 0.000 0.000 0.000
   57 11.080 11.080 11.080 11.080 11.080 11.080 11.080 11.080 10.684 9.927 9.398 8.907 8.410 7.881 7.312 6.676 5.939 5.058 3.919 2.136 0.000 0.000 0.000 0.000 0.000
   58 11.083 11.083 11.083 11.083 11.083 11.083 11.083 11.083 10.823 9.970 9.430 8.931 8.425 7.893 7.312 6.660 5.910 4.993 3.790 1.757 0.000 0.000 0.000 0.000 0.000
   59 11.086 11.086 11.086 11.086 11.086 11.086 11.086 11.086 11.086 10.008 9.455 8.948 8.439 7.902 7.310 6.652 5.881 4.943 3.686 1.391 0.000 0.000 0.000 0.000 0.000
   60 11.089 11.089 11.089 11.089 11.089 11.089 11.089 11.089 11.089 10.037 9.472 8.958 8.441 7.901 7.307 6.642 5.865 4.906 3.622 1.141 0.000 0.000 0.000 0.000 0.000
   61 11.092 11.092 11.092 11.092 11.092 11.092 11.092 11.092 11.092 10.052 9.479 8.960 8.441 7.896 7.298 6.631 5.850 4.894 3.611 1.158 0.000 0.000 0.000 0.000 0.000
   62 11.095 11.095 11.095 11.095 11.095 11.095 11.095 11.095 11.095 10.052 9.472 8.951 8.427 7.879 7.284 6.620 5.843 4.905 3.656 1.433 0.000 0.000 0.000 0.000 0.000
   63 11.097 11.097 11.097 11.097 11.097 11.097 11.097 11.097 11.097 10.037 9.456 8.930 8.409 7.860 7.268 6.610 5.850 4.937 3.752 1.812 0.000 0.000 0.000 0.000 0.000
   64 11.099 11.099 11.099 11.099 11.099 11.099 11.099 11.099 11.099 10.009 9.430 8.905 8.383 7.838 7.252 6.603 5.866 4.989 3.880 2.194 0.000 0.000 0.000 0.000 0.000
   65 11.101 11.101 11.101 11.101 11.101 11.101 11.101 11.101 11.101 9.971 9.395 8.872 8.356 7.816 7.238 6.605 5.889 5.054 4.017 2.540 0.000 0.000 0.000 0.000 0.000
   66 11.102 11.102 11.102 11.102 11.102 11.102 11.102 11.102 10.853 9.928 9.359 8.840 8.329 7.794 7.228 6.611 5.921 5.122 4.154 2.841 0.000 0.000 0.000 0.000 0.000
   67 11.104 11.104 11.104 11.104 11.104 11.104 11.104 11.104 10.720 9.882 9.321 8.809 8.300 7.776 7.222 6.624 5.954 5.191 4.283 3.091 0.814 0.000 0.000 0.000 0.000
   68 11.104 11.104 11.104 11.104 11.104 11.104 11.104 11.104 10.621 9.840 9.289 8.780 8.278 7.765 7.220 6.634 5.988 5.257 4.387 3.291 1.504 0.000 0.000 0.000 0.000
   69 11.105 11.105 11.105 11.105 11.105 11.105 11.105 11.105 10.548 9.804 9.260 8.757 8.265 7.755 7.219 6.648 6.016 5.306 4.478 3.442 1.880 0.000 0.000 0.000 0.000
   70 11.105 11.105 11.105 11.105 11.105 11.105 11.105 11.105 10.497 9.778 9.240 8.744 8.252 7.750 7.222 6.655 6.039 5.348 4.538 3.546 2.107 0.000 0.000 0.000 0.000
   71 11.105 11.105 11.105 11.105 11.105 11.105 11.105 11.105 10.466 9.760 9.228 8.736 8.247 7.745 7.223 6.663 6.053 5.369 4.578 3.607 2.231 0.000 0.000 0.000 0.000
   72 11.104 11.104 11.104 11.104 11.104 11.104 11.104 11.104 10.457 9.758 9.225 8.734 8.245 7.748 7.226 6.665 6.056 5.372 4.585 3.617 2.254 0.000 0.000 0.000 0.000
   73 11.104 11.104 11.104 11.104 11.104 11.104 11.104 11.104 10.469 9.766 9.232 8.738 8.251 7.749 7.224 6.664 6.048 5.360 4.562 3.582 2.176 0.000 0.000 0.000 0.000
   74 11.103 11.103 11.103 11.103 11.103 11.103 11.103 11.103 10.505 9.786 9.250 8.754 8.259 7.755 7.227 6.654 6.031 5.325 4.508 3.492 1.994 0.000 0.000 0.000 0.000
   75 11.102 11.102 11.102 11.102 11.102 11.102 11.102 11.102 10.564 9.820 9.278 8.775 8.278 7.765 7.226 6.643 6.000 5.276 4.425 3.345 1.695 0.000 0.000 0.000 0.000
   76 11.101 11.101 11.101 11.101 11.101 11.101 11.101 11.101 10.651 9.865 9.314 8.807 8.303 7.782 7.228 6.630 5.967 5.211 4.307 3.131 1.054 0.000 0.000 0.000 0.000
   77 11.100 11.100 11.100 11.100 11.100 11.100 11.100 11.100 10.776 9.916 9.357 8.845 8.331 7.802 7.236 6.619 5.926 5.124 4.155 2.839 0.000 0.000 0.000 0.000 0.000
   78 11.098 11.098 11.098 11.098 11.098 11.098 11.098 11.098 11.008 9.973 9.406 8.887 8.371 7.831 7.248 6.608 5.885 5.033 3.969 2.440 0.000 0.000 0.000 0.000 0.000
   79 11.096 11.096 11.096 11.096 11.096 11.096 11.096 11.096 11.096 10.027 9.456 8.933 8.412 7.864 7.269 6.611 5.847 4.938 3.757 1.914 0.000 0.000 0.000 0.000 0.000
   80 11.094 11.094 11.094 11.094 11.094 11.094 11.094 11.094 11.094 10.076 9.499 8.976 8.452 7.898 7.295 6.615 5.818 4.847 3.534 0.975 0.000 0.000 0.000 0.000 0.000
   81 11.092 11.092 11.092 11.092 11.092 11.092 11.092 11.092 11.092 10.111 9.530 9.008 8.487 7.931 7.321 6.626 5.805 4.774 3.320 0.000 0.000 0.000 0.000 0.000 0.000
   82 11.090 11.090 11.090 11.090 11.090 11.090 11.090 11.090 11.090 10.126 9.547 9.028 8.506 7.953 7.340 6.639 5.801 4.738 3.173 0.000 0.000 0.000 0.000 0.000 0.000
   83 11.087 11.087 11.087 11.087 11.087 11.087 11.087 11.087 11.087 10.116 9.545 9.031 8.512 7.959 7.349 6.647 5.812 4.739 3.159 0.000 0.000 0.000 0.000 0.000 0.000
   84 11.084 11.084 11.084 11.084 11.084 11.084 11.084 11.084 11.084 10.082 9.521 9.013 8.497 7.951 7.345 6.652 5.828 4.786 3.290 0.000 0.000 0.000 0.000 0.000 0.000
   85 11.082 11.082 11.082 11.082 11.082 11.082 11.082 11.082 11.082 10.027 9.483 8.980 8.468 7.926 7.331 6.654 5.860 4.872 3.524 0.633 0.000 0.000 0.000 0.000 0.000
   86 11.079 11.079 11.079 11.079 11.079 11.079 11.079 11.079 10.740 9.956 9.426 8.930 8.428 7.893 7.310 6.658 5.901 4.988 3.800 1.884 0.000 0.000 0.000 0.000 0.000
