Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 10.866 9.624 8.432 7.059 4.916 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 10.821 9.598 8.419 7.060 4.971 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.885 12.885 12.885 12.885 12.885 12.885 12.885 12.885 12.885 12.885 12.885 12.885 12.885 12.885 10.818 9.595 8.417 7.040 4.859 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 12.880 10.859 9.620 8.418 7.002 4.507 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.876 12.876 12.876 12.876 12.876 12.876 12.876 12.876 12.876 12.876 12.876 12.876 12.876 12.876 10.950 9.674 8.438 6.946 3.740 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 12.872 11.088 9.757 8.474 6.871 3.085 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.869 12.869 12.869 12.869 12.869 12.869 12.869 12.869 12.869 12.869 12.869 12.869 12.869 12.869 11.275 9.868 8.536 6.782 2.564 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.866 12.866 12.866 12.866 12.866 12.866 12.866 12.866 12.866 12.866 12.866 12.866 12.866 12.866 11.511 10.009 8.629 6.713 2.010 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 11.797 10.161 8.748 6.710 1.245 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.133 10.316 8.879 6.827 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   10 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.864 12.574 10.438 8.992 7.016 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   11 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 12.865 10.511 9.059 7.147 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   12 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 12.867 10.519 9.062 7.136 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   13 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 12.870 10.466 9.004 6.995 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   14 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.874 12.301 10.354 8.891 6.788 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   15 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 12.878 11.946 10.211 8.764 6.668 1.344 0.000 0.000 0.000 0.000 0.000 0.000
   16 12.883 12.883 12.883 12.883 12.883 12.883 12.883 12.883 12.883 12.883 12.883 12.883 12.883 12.883 11.652 10.059 8.646 6.684 2.098 0.000 0.000 0.000 0.000 0.000 0.000
   17 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 11.408 9.923 8.554 6.764 2.668 0.000 0.000 0.000 0.000 0.000 0.000
   18 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 11.216 9.812 8.497 6.855 3.187 0.000 0.000 0.000 0.000 0.000 0.000
   19 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 11.072 9.731 8.462 6.935 3.887 0.000 0.000 0.000 0.000 0.000 0.000
