Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 11.294 10.239 9.365 8.466 7.435 6.085 3.683 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.331 12.331 12.331 12.331 12.331 12.331 12.331 12.331 12.331 12.331 12.331 12.331 11.271 10.234 9.363 8.467 7.435 6.089 3.653 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.327 12.327 12.327 12.327 12.327 12.327 12.327 12.327 12.327 12.327 12.327 12.327 11.204 10.197 9.337 8.448 7.426 6.098 3.773 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.323 12.323 12.323 12.323 12.323 12.323 12.323 12.323 12.323 12.323 12.323 12.323 11.097 10.130 9.285 8.408 7.403 6.115 3.995 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.319 12.319 12.319 12.319 12.319 12.319 12.319 12.319 12.319 12.319 12.319 12.319 10.975 10.048 9.220 8.359 7.377 6.146 4.263 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.316 12.316 12.316 12.316 12.316 12.316 12.316 12.316 12.316 12.316 12.316 12.316 10.841 9.959 9.149 8.310 7.362 6.192 4.529 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.313 12.313 12.313 12.313 12.313 12.313 12.313 12.313 12.313 12.313 12.313 12.313 10.715 9.868 9.081 8.264 7.353 6.254 4.759 1.950 0.000 0.000 0.000 0.000 0.000
    7 12.311 12.311 12.311 12.311 12.311 12.311 12.311 12.311 12.311 12.311 12.311 11.813 10.606 9.789 9.023 8.230 7.353 6.315 4.956 2.692 0.000 0.000 0.000 0.000 0.000
    8 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 11.593 10.513 9.725 8.979 8.206 7.358 6.370 5.114 3.159 0.000 0.000 0.000 0.000 0.000
    9 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 11.449 10.445 9.679 8.948 8.190 7.366 6.418 5.230 3.468 0.000 0.000 0.000 0.000 0.000
   10 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 12.309 11.365 10.402 9.644 8.924 8.182 7.375 6.452 5.305 3.652 0.000 0.000 0.000 0.000 0.000
   11 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 12.310 11.333 10.385 9.632 8.918 8.176 7.379 6.463 5.339 3.742 0.000 0.000 0.000 0.000 0.000
   12 12.312 12.312 12.312 12.312 12.312 12.312 12.312 12.312 12.312 12.312 12.312 11.348 10.390 9.638 8.918 8.179 7.378 6.462 5.334 3.733 0.000 0.000 0.000 0.000 0.000
   13 12.314 12.314 12.314 12.314 12.314 12.314 12.314 12.314 12.314 12.314 12.314 11.410 10.420 9.657 8.931 8.183 7.372 6.442 5.291 3.634 0.000 0.000 0.000 0.000 0.000
   14 12.317 12.317 12.317 12.317 12.317 12.317 12.317 12.317 12.317 12.317 12.317 11.532 10.482 9.697 8.957 8.193 7.362 6.406 5.207 3.433 0.000 0.000 0.000 0.000 0.000
   15 12.321 12.321 12.321 12.321 12.321 12.321 12.321 12.321 12.321 12.321 12.321 11.714 10.565 9.753 8.993 8.209 7.352 6.354 5.078 3.107 0.000 0.000 0.000 0.000 0.000
   16 12.325 12.325 12.325 12.325 12.325 12.325 12.325 12.325 12.325 12.325 12.325 12.190 10.675 9.831 9.047 8.239 7.345 6.293 4.907 2.606 0.000 0.000 0.000 0.000 0.000
   17 12.330 12.330 12.330 12.330 12.330 12.330 12.330 12.330 12.330 12.330 12.330 12.330 10.813 9.923 9.113 8.274 7.343 6.223 4.697 1.796 0.000 0.000 0.000 0.000 0.000
   18 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 12.336 10.971 10.028 9.188 8.324 7.349 6.150 4.431 0.000 0.000 0.000 0.000 0.000 0.000
   19 12.341 12.341 12.341 12.341 12.341 12.341 12.341 12.341 12.341 12.341 12.341 12.341 11.145 10.138 9.270 8.380 7.369 6.091 4.128 0.000 0.000 0.000 0.000 0.000 0.000
   20 12.347 12.347 12.347 12.347 12.347 12.347 12.347 12.347 12.347 12.347 12.347 12.347 11.324 10.240 9.351 8.436 7.394 6.053 3.792 0.000 0.000 0.000 0.000 0.000 0.000
   21 12.352 12.352 12.352 12.352 12.352 12.352 12.352 12.352 12.352 12.352 12.352 12.352 11.490 10.328 9.413 8.483 7.424 6.025 3.463 0.000 0.000 0.000 0.000 0.000 0.000
   22 12.358 12.358 12.358 12.358 12.358 12.358 12.358 12.358 12.358 12.358 12.358 12.358 11.620 10.384 9.454 8.515 7.436 6.015 3.235 0.000 0.000 0.000 0.000 0.000 0.000
   23 12.363 12.363 12.363 12.363 12.363 12.363 12.363 12.363 12.363 12.363 12.363 12.363 11.683 10.404 9.463 8.517 7.435 6.007 3.223 0.000 0.000 0.000 0.000 0.000 0.000
