Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.663 12.663 12.663 12.663 12.663 12.663 12.663 12.663 12.663 12.663 12.663 12.663 12.663 12.032 10.486 9.363 8.163 6.557 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.658 12.658 12.658 12.658 12.658 12.658 12.658 12.658 12.658 12.658 12.658 12.658 12.658 11.997 10.480 9.365 8.170 6.563 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.653 12.653 12.653 12.653 12.653 12.653 12.653 12.653 12.653 12.653 12.653 12.653 12.653 11.860 10.429 9.327 8.135 6.538 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.649 12.649 12.649 12.649 12.649 12.649 12.649 12.649 12.649 12.649 12.649 12.649 12.649 11.666 10.338 9.258 8.079 6.507 2.164 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.644 12.644 12.644 12.644 12.644 12.644 12.644 12.644 12.644 12.644 12.644 12.644 12.644 11.456 10.220 9.165 8.013 6.495 3.139 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.641 12.641 12.641 12.641 12.641 12.641 12.641 12.641 12.641 12.641 12.641 12.641 12.641 11.246 10.097 9.069 7.951 6.519 3.859 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.638 12.638 12.638 12.638 12.638 12.638 12.638 12.638 12.638 12.638 12.638 12.638 12.638 11.059 9.976 8.984 7.909 6.567 4.375 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.635 12.635 12.635 12.635 12.635 12.635 12.635 12.635 12.635 12.635 12.635 12.635 12.635 10.897 9.872 8.911 7.879 6.624 4.752 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 10.771 9.787 8.857 7.863 6.682 5.015 1.020 0.000 0.000 0.000 0.000 0.000
    9 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.089 10.678 9.725 8.824 7.856 6.732 5.203 1.876 0.000 0.000 0.000 0.000 0.000
   10 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 12.633 11.935 10.619 9.687 8.798 7.853 6.762 5.316 2.392 0.000 0.000 0.000 0.000 0.000
   11 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 12.634 11.870 10.592 9.668 8.792 7.858 6.777 5.373 2.642 0.000 0.000 0.000 0.000 0.000
   12 12.636 12.636 12.636 12.636 12.636 12.636 12.636 12.636 12.636 12.636 12.636 12.636 11.893 10.598 9.671 8.792 7.854 6.777 5.368 2.638 0.000 0.000 0.000 0.000 0.000
