Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 5.500 5.481 5.441 5.387 5.322 5.248 5.166 5.085 4.996 4.891 4.774 4.642 4.491 4.326 4.140 3.930 3.692 3.425 3.114 2.759 2.320 1.757 0.859 0.000 0.000
    1 5.527 5.508 5.468 5.415 5.350 5.276 5.196 5.114 5.025 4.923 4.806 4.674 4.525 4.360 4.173 3.966 3.735 3.471 3.169 2.817 2.391 1.850 1.027 0.000 0.000
    2 5.553 5.534 5.495 5.442 5.377 5.304 5.224 5.142 5.052 4.951 4.834 4.703 4.556 4.391 4.205 4.001 3.767 3.506 3.208 2.856 2.439 1.902 1.116 0.000 0.000
    3 5.579 5.560 5.520 5.467 5.403 5.330 5.250 5.167 5.080 4.977 4.860 4.728 4.582 4.414 4.233 4.023 3.789 3.525 3.226 2.874 2.453 1.921 1.164 0.000 0.000
    4 5.602 5.583 5.545 5.492 5.427 5.353 5.272 5.191 5.102 5.001 4.884 4.750 4.601 4.434 4.247 4.037 3.803 3.535 3.229 2.873 2.443 1.889 1.094 0.000 0.000
    5 5.623 5.604 5.565 5.512 5.449 5.375 5.293 5.212 5.123 5.018 4.901 4.765 4.616 4.446 4.259 4.043 3.802 3.531 3.217 2.849 2.402 1.830 0.941 0.000 0.000
    6 5.641 5.622 5.583 5.530 5.466 5.392 5.310 5.229 5.138 5.034 4.912 4.779 4.627 4.454 4.262 4.043 3.798 3.516 3.195 2.811 2.348 1.727 0.664 0.000 0.000
    7 5.654 5.636 5.597 5.545 5.479 5.405 5.325 5.242 5.150 5.045 4.924 4.785 4.631 4.456 4.258 4.035 3.784 3.495 3.159 2.759 2.270 1.595 0.000 0.000 0.000
    8 5.664 5.645 5.607 5.553 5.488 5.415 5.333 5.250 5.156 5.051 4.928 4.788 4.631 4.453 4.251 4.023 3.765 3.465 3.117 2.705 2.183 1.487 0.000 0.000 0.000
    9 5.669 5.650 5.612 5.559 5.494 5.419 5.337 5.254 5.162 5.053 4.928 4.790 4.628 4.447 4.243 4.008 3.743 3.437 3.077 2.646 2.093 1.322 0.000 0.000 0.000
   10 5.669 5.651 5.612 5.558 5.493 5.420 5.337 5.253 5.160 5.052 4.927 4.784 4.622 4.439 4.231 3.993 3.722 3.408 3.041 2.589 2.016 1.164 0.000 0.000 0.000
   11 5.664 5.646 5.607 5.554 5.489 5.414 5.332 5.248 5.154 5.046 4.919 4.776 4.615 4.428 4.218 3.977 3.706 3.385 3.010 2.555 1.960 1.046 0.000 0.000 0.000
   12 5.655 5.636 5.598 5.544 5.478 5.403 5.321 5.237 5.143 5.035 4.908 4.765 4.601 4.418 4.205 3.963 3.689 3.371 2.993 2.529 1.926 0.990 0.000 0.000 0.000
