Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 11.717 11.717 11.717 11.717 11.717 11.717 11.717 11.717 11.717 11.717 10.426 9.761 9.171 8.590 7.993 7.357 6.660 5.869 4.923 3.703 1.615 0.000 0.000 0.000 0.000
    1 11.714 11.714 11.714 11.714 11.714 11.714 11.714 11.714 11.714 11.714 10.397 9.743 9.159 8.584 7.993 7.360 6.667 5.886 4.955 3.747 1.757 0.000 0.000 0.000 0.000
    2 11.711 11.711 11.711 11.711 11.711 11.711 11.711 11.711 11.711 11.551 10.389 9.742 9.161 8.583 7.995 7.362 6.668 5.884 4.950 3.741 1.722 0.000 0.000 0.000 0.000
    3 11.707 11.707 11.707 11.707 11.707 11.707 11.707 11.707 11.707 11.622 10.399 9.751 9.171 8.593 8.001 7.362 6.662 5.871 4.918 3.669 1.527 0.000 0.000 0.000 0.000
    4 11.705 11.705 11.705 11.705 11.705 11.705 11.705 11.705 11.705 11.705 10.429 9.775 9.189 8.612 8.008 7.366 6.653 5.836 4.853 3.540 1.027 0.000 0.000 0.000 0.000
    5 11.702 11.702 11.702 11.702 11.702 11.702 11.702 11.702 11.702 11.702 10.474 9.811 9.218 8.632 8.026 7.371 6.638 5.793 4.752 3.339 0.000 0.000 0.000 0.000 0.000
    6 11.701 11.701 11.701 11.701 11.701 11.701 11.701 11.701 11.701 11.701 10.533 9.857 9.259 8.665 8.047 7.373 6.620 5.739 4.634 3.057 0.000 0.000 0.000 0.000 0.000
    7 11.699 11.699 11.699 11.699 11.699 11.699 11.699 11.699 11.699 11.699 10.601 9.909 9.301 8.702 8.072 7.383 6.602 5.678 4.490 2.676 0.000 0.000 0.000 0.000 0.000
    8 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 10.670 9.959 9.347 8.739 8.101 7.396 6.592 5.614 4.327 2.187 0.000 0.000 0.000 0.000 0.000
    9 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 10.736 10.006 9.388 8.776 8.131 7.414 6.586 5.566 4.173 1.468 0.000 0.000 0.000 0.000 0.000
   10 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 11.698 10.793 10.045 9.420 8.804 8.151 7.430 6.586 5.530 4.038 0.000 0.000 0.000 0.000 0.000 0.000
   11 11.699 11.699 11.699 11.699 11.699 11.699 11.699 11.699 11.699 11.699 10.829 10.070 9.440 8.819 8.169 7.436 6.581 5.507 3.954 0.000 0.000 0.000 0.000 0.000 0.000
   12 11.700 11.700 11.700 11.700 11.700 11.700 11.700 11.700 11.700 11.700 10.838 10.074 9.444 8.823 8.164 7.434 6.579 5.498 3.942 0.000 0.000 0.000 0.000 0.000 0.000
