Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 5.724 5.698 5.646 5.575 5.490 5.391 5.279 5.155 5.017 4.872 4.715 4.547 4.378 4.202 4.010 3.794 3.549 3.271 2.950 2.566 2.089 1.446 0.000 0.000 0.000
    1 5.749 5.723 5.671 5.602 5.516 5.418 5.306 5.181 5.048 4.902 4.748 4.580 4.411 4.239 4.049 3.836 3.592 3.321 3.003 2.631 2.168 1.556 0.328 0.000 0.000
    2 5.773 5.747 5.696 5.626 5.542 5.443 5.331 5.209 5.075 4.930 4.774 4.611 4.439 4.269 4.080 3.867 3.626 3.355 3.037 2.665 2.214 1.616 0.534 0.000 0.000
    3 5.796 5.771 5.720 5.651 5.566 5.467 5.357 5.232 5.098 4.955 4.799 4.636 4.464 4.294 4.105 3.889 3.648 3.373 3.059 2.683 2.228 1.625 0.539 0.000 0.000
    4 5.818 5.793 5.742 5.672 5.588 5.490 5.379 5.255 5.121 4.976 4.818 4.655 4.484 4.311 4.118 3.902 3.658 3.379 3.058 2.682 2.214 1.589 0.347 0.000 0.000
    5 5.837 5.812 5.762 5.692 5.608 5.510 5.397 5.275 5.139 4.993 4.835 4.669 4.498 4.322 4.127 3.908 3.660 3.375 3.042 2.654 2.165 1.509 0.000 0.000 0.000
    6 5.853 5.828 5.778 5.710 5.625 5.526 5.414 5.290 5.154 5.006 4.848 4.678 4.506 4.328 4.130 3.904 3.650 3.357 3.017 2.609 2.103 1.421 0.000 0.000 0.000
    7 5.866 5.842 5.792 5.723 5.638 5.539 5.427 5.302 5.163 5.014 4.852 4.684 4.511 4.330 4.126 3.897 3.636 3.329 2.981 2.553 2.010 1.251 0.000 0.000 0.000
    8 5.875 5.850 5.801 5.732 5.647 5.548 5.435 5.308 5.169 5.019 4.856 4.686 4.510 4.324 4.120 3.882 3.614 3.303 2.933 2.485 1.907 1.033 0.000 0.000 0.000
    9 5.879 5.855 5.806 5.738 5.652 5.553 5.439 5.313 5.172 5.020 4.856 4.684 4.508 4.321 4.108 3.867 3.589 3.268 2.890 2.422 1.802 0.767 0.000 0.000 0.000
   10 5.879 5.856 5.806 5.737 5.653 5.552 5.439 5.311 5.171 5.016 4.852 4.678 4.499 4.310 4.094 3.850 3.568 3.240 2.847 2.363 1.709 0.432 0.000 0.000 0.000
   11 5.875 5.851 5.802 5.733 5.649 5.549 5.434 5.306 5.165 5.011 4.845 4.668 4.489 4.297 4.081 3.834 3.549 3.214 2.817 2.321 1.642 0.000 0.000 0.000 0.000
   12 5.866 5.842 5.792 5.724 5.638 5.538 5.424 5.295 5.154 5.000 4.834 4.657 4.478 4.287 4.068 3.820 3.532 3.201 2.796 2.296 1.608 0.000 0.000 0.000 0.000
   13 5.853 5.829 5.779 5.709 5.624 5.524 5.409 5.281 5.140 4.986 4.818 4.643 4.462 4.273 4.057 3.809 3.521 3.190 2.793 2.297 1.614 0.000 0.000 0.000 0.000
   14 5.835 5.811 5.761 5.692 5.606 5.506 5.391 5.263 5.121 4.969 4.802 4.626 4.447 4.258 4.045 3.797 3.519 3.188 2.795 2.311 1.653 0.236 0.000 0.000 0.000
   15 5.813 5.789 5.739 5.669 5.584 5.483 5.368 5.240 5.101 4.947 4.782 4.608 4.429 4.240 4.030 3.789 3.511 3.190 2.812 2.340 1.712 0.583 0.000 0.000 0.000
   16 5.788 5.764 5.713 5.643 5.557 5.456 5.342 5.214 5.073 4.923 4.759 4.584 4.407 4.224 4.014 3.779 3.504 3.194 2.823 2.375 1.777 0.768 0.000 0.000 0.000
   17 5.760 5.735 5.684 5.613 5.528 5.428 5.314 5.187 5.046 4.895 4.733 4.561 4.387 4.201 3.997 3.765 3.500 3.194 2.834 2.402 1.833 0.936 0.000 0.000 0.000
   18 5.730 5.705 5.653 5.582 5.496 5.396 5.282 5.155 5.018 4.867 4.705 4.535 4.359 4.175 3.977 3.745 3.491 3.191 2.843 2.419 1.880 1.059 0.000 0.000 0.000
   19 5.699 5.673 5.621 5.550 5.464 5.363 5.250 5.122 4.984 4.833 4.675 4.505 4.329 4.151 3.953 3.724 3.473 3.177 2.837 2.425 1.902 1.126 0.000 0.000 0.000
   20 5.667 5.641 5.588 5.517 5.430 5.329 5.215 5.089 4.951 4.801 4.641 4.473 4.296 4.118 3.920 3.697 3.446 3.154 2.817 2.409 1.895 1.136 0.000 0.000 0.000
   21 5.636 5.609 5.557 5.485 5.397 5.295 5.181 5.055 4.917 4.769 4.607 4.439 4.260 4.085 3.887 3.664 3.409 3.121 2.788 2.380 1.861 1.098 0.000 0.000 0.000
   22 5.605 5.579 5.525 5.454 5.365 5.264 5.150 5.022 4.883 4.734 4.572 4.400 4.226 4.045 3.847 3.624 3.370 3.077 2.741 2.329 1.798 0.999 0.000 0.000 0.000
   23 5.577 5.550 5.497 5.424 5.335 5.233 5.118 4.991 4.851 4.699 4.537 4.365 4.186 4.008 3.807 3.578 3.324 3.024 2.680 2.256 1.704 0.857 0.000 0.000 0.000
   24 5.552 5.525 5.471 5.398 5.309 5.206 5.089 4.960 4.819 4.667 4.503 4.331 4.147 3.963 3.762 3.530 3.266 2.959 2.604 2.164 1.577 0.533 0.000 0.000 0.000
   25 5.530 5.504 5.449 5.375 5.287 5.182 5.064 4.935 4.791 4.637 4.471 4.294 4.110 3.924 3.714 3.479 3.204 2.891 2.516 2.052 1.415 0.000 0.000 0.000 0.000
   26 5.513 5.486 5.432 5.358 5.268 5.162 5.044 4.913 4.767 4.611 4.441 4.264 4.078 3.887 3.671 3.426 3.148 2.821 2.423 1.931 1.223 0.000 0.000 0.000 0.000
   27 5.501 5.474 5.419 5.346 5.254 5.150 5.029 4.897 4.749 4.590 4.417 4.236 4.047 3.850 3.631 3.381 3.086 2.744 2.327 1.791 0.989 0.000 0.000 0.000 0.000
   28 5.494 5.467 5.413 5.339 5.248 5.141 5.020 4.886 4.738 4.574 4.400 4.216 4.025 3.823 3.598 3.338 3.033 2.676 2.238 1.649 0.643 0.000 0.000 0.000 0.000
   29 5.493 5.466 5.412 5.337 5.246 5.138 5.017 4.881 4.732 4.567 4.393 4.202 4.009 3.806 3.573 3.303 2.988 2.617 2.156 1.515 0.000 0.000 0.000 0.000 0.000
   30 5.497 5.471 5.416 5.342 5.250 5.143 5.021 4.884 4.732 4.567 4.389 4.198 4.002 3.794 3.558 3.282 2.960 2.575 2.087 1.402 0.000 0.000 0.000 0.000 0.000
   31 5.507 5.481 5.426 5.352 5.261 5.153 5.031 4.892 4.741 4.574 4.394 4.203 4.007 3.796 3.554 3.275 2.950 2.554 2.051 1.330 0.000 0.000 0.000 0.000 0.000
   32 5.522 5.496 5.441 5.368 5.276 5.169 5.046 4.909 4.756 4.591 4.411 4.218 4.022 3.811 3.569 3.287 2.955 2.556 2.049 1.312 0.000 0.000 0.000 0.000 0.000
   33 5.542 5.516 5.462 5.389 5.298 5.191 5.069 4.931 4.781 4.614 4.435 4.240 4.047 3.836 3.597 3.315 2.983 2.587 2.080 1.352 0.000 0.000 0.000 0.000 0.000
   34 5.566 5.540 5.487 5.413 5.323 5.216 5.095 4.959 4.807 4.643 4.465 4.274 4.078 3.873 3.634 3.355 3.030 2.641 2.146 1.453 0.000 0.000 0.000 0.000 0.000
   35 5.593 5.567 5.514 5.441 5.352 5.247 5.126 4.991 4.840 4.677 4.502 4.314 4.121 3.916 3.679 3.406 3.091 2.710 2.237 1.593 0.000 0.000 0.000 0.000 0.000
   36 5.623 5.598 5.545 5.473 5.384 5.279 5.160 5.026 4.879 4.717 4.543 4.357 4.168 3.968 3.735 3.472 3.163 2.800 2.349 1.749 0.748 0.000 0.000 0.000 0.000
   37 5.656 5.630 5.578 5.506 5.417 5.314 5.196 5.064 4.918 4.760 4.588 4.407 4.218 4.021 3.799 3.542 3.244 2.895 2.467 1.915 1.075 0.000 0.000 0.000 0.000
   38 5.689 5.664 5.612 5.541 5.453 5.351 5.233 5.103 4.959 4.803 4.634 4.458 4.271 4.080 3.864 3.613 3.328 2.993 2.592 2.085 1.359 0.000 0.000 0.000 0.000
   39 5.723 5.698 5.646 5.575 5.489 5.387 5.271 5.141 5.001 4.848 4.682 4.505 4.324 4.137 3.927 3.686 3.411 3.091 2.709 2.241 1.604 0.281 0.000 0.000 0.000
   40 5.756 5.731 5.679 5.609 5.523 5.423 5.307 5.181 5.042 4.889 4.727 4.555 4.379 4.195 3.988 3.759 3.491 3.185 2.822 2.382 1.808 0.880 0.000 0.000 0.000
   41 5.787 5.762 5.711 5.641 5.556 5.456 5.343 5.219 5.079 4.931 4.770 4.603 4.426 4.251 4.050 3.824 3.566 3.271 2.926 2.511 1.988 1.221 0.000 0.000 0.000
   42 5.816 5.791 5.741 5.671 5.587 5.488 5.376 5.252 5.117 4.969 4.813 4.645 4.474 4.301 4.103 3.880 3.632 3.350 3.014 2.622 2.133 1.459 0.000 0.000 0.000
   43 5.843 5.818 5.767 5.698 5.614 5.517 5.405 5.283 5.149 5.004 4.848 4.685 4.513 4.343 4.151 3.935 3.694 3.416 3.094 2.718 2.255 1.638 0.520 0.000 0.000
   44 5.865 5.841 5.790 5.722 5.638 5.541 5.431 5.309 5.177 5.033 4.880 4.716 4.548 4.377 4.191 3.981 3.740 3.472 3.162 2.795 2.352 1.776 0.840 0.000 0.000
   45 5.885 5.860 5.810 5.741 5.658 5.561 5.453 5.333 5.198 5.057 4.903 4.742 4.578 4.408 4.224 4.014 3.780 3.516 3.210 2.854 2.428 1.879 1.046 0.000 0.000
   46 5.899 5.875 5.825 5.756 5.674 5.578 5.469 5.350 5.217 5.076 4.924 4.763 4.599 4.432 4.248 4.041 3.807 3.546 3.244 2.896 2.474 1.947 1.165 0.000 0.000
   47 5.909 5.885 5.835 5.767 5.684 5.588 5.480 5.359 5.230 5.087 4.937 4.778 4.610 4.448 4.261 4.057 3.826 3.566 3.264 2.920 2.507 1.984 1.225 0.000 0.000
   48 5.915 5.891 5.841 5.773 5.690 5.594 5.486 5.365 5.234 5.092 4.943 4.784 4.618 4.450 4.269 4.063 3.832 3.568 3.269 2.925 2.512 1.989 1.231 0.000 0.000
   49 5.916 5.892 5.841 5.774 5.691 5.595 5.486 5.365 5.236 5.094 4.941 4.782 4.618 4.448 4.267 4.057 3.826 3.562 3.263 2.912 2.494 1.962 1.185 0.000 0.000
   50 5.912 5.888 5.838 5.770 5.687 5.591 5.482 5.361 5.228 5.087 4.933 4.772 4.608 4.441 4.254 4.044 3.810 3.542 3.240 2.880 2.454 1.909 1.123 0.000 0.000
   51 5.904 5.880 5.830 5.762 5.678 5.581 5.472 5.350 5.219 5.074 4.920 4.757 4.590 4.423 4.233 4.020 3.783 3.512 3.198 2.830 2.388 1.816 0.936 0.000 0.000
   52 5.892 5.867 5.817 5.749 5.665 5.568 5.458 5.336 5.202 5.057 4.901 4.737 4.569 4.396 4.203 3.987 3.743 3.465 3.143 2.767 2.300 1.688 0.606 0.000 0.000
   53 5.875 5.851 5.801 5.732 5.649 5.551 5.438 5.314 5.180 5.033 4.875 4.710 4.541 4.363 4.164 3.945 3.694 3.405 3.076 2.676 2.191 1.513 0.000 0.000 0.000
   54 5.855 5.831 5.781 5.712 5.627 5.529 5.416 5.291 5.154 5.005 4.847 4.677 4.504 4.325 4.124 3.895 3.638 3.338 2.994 2.578 2.051 1.329 0.000 0.000 0.000
   55 5.832 5.808 5.758 5.688 5.604 5.504 5.390 5.265 5.126 4.974 4.811 4.639 4.463 4.282 4.075 3.843 3.572 3.265 2.898 2.458 1.885 1.019 0.000 0.000 0.000
   56 5.807 5.783 5.732 5.662 5.576 5.475 5.361 5.235 5.093 4.940 4.776 4.599 4.423 4.234 4.024 3.783 3.505 3.181 2.799 2.327 1.698 0.542 0.000 0.000 0.000
   57 5.779 5.755 5.704 5.634 5.548 5.447 5.330 5.203 5.059 4.905 4.736 4.560 4.376 4.184 3.965 3.718 3.429 3.098 2.697 2.189 1.489 0.000 0.000 0.000 0.000
