Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 5.559 5.537 5.494 5.433 5.360 5.276 5.182 5.080 4.971 4.863 4.744 4.610 4.459 4.294 4.104 3.891 3.653 3.382 3.072 2.708 2.266 1.676 0.717 0.000 0.000
    1 5.585 5.564 5.520 5.460 5.388 5.305 5.210 5.108 5.001 4.893 4.776 4.642 4.495 4.328 4.141 3.934 3.696 3.433 3.126 2.766 2.336 1.778 0.932 0.000 0.000
    2 5.611 5.590 5.546 5.487 5.415 5.331 5.239 5.136 5.030 4.923 4.804 4.673 4.524 4.359 4.172 3.965 3.731 3.467 3.161 2.809 2.384 1.830 1.030 0.000 0.000
    3 5.636 5.615 5.572 5.512 5.440 5.357 5.263 5.162 5.055 4.947 4.832 4.698 4.549 4.381 4.197 3.988 3.750 3.486 3.183 2.823 2.398 1.839 1.035 0.000 0.000
    4 5.659 5.638 5.594 5.536 5.463 5.380 5.288 5.185 5.079 4.969 4.851 4.720 4.568 4.401 4.214 4.004 3.767 3.492 3.186 2.822 2.380 1.817 0.956 0.000 0.000
    5 5.679 5.658 5.616 5.557 5.484 5.401 5.307 5.205 5.098 4.990 4.869 4.737 4.583 4.413 4.220 4.007 3.766 3.491 3.174 2.798 2.347 1.744 0.770 0.000 0.000
    6 5.696 5.676 5.633 5.574 5.501 5.418 5.324 5.222 5.113 5.003 4.884 4.748 4.594 4.421 4.226 4.007 3.759 3.474 3.148 2.757 2.284 1.642 0.381 0.000 0.000
    7 5.710 5.689 5.647 5.588 5.516 5.432 5.337 5.233 5.124 5.014 4.893 4.755 4.598 4.423 4.225 3.999 3.745 3.452 3.112 2.704 2.202 1.529 0.000 0.000 0.000
    8 5.719 5.699 5.656 5.597 5.525 5.440 5.345 5.241 5.131 5.021 4.898 4.759 4.601 4.420 4.215 3.987 3.726 3.423 3.071 2.647 2.112 1.380 0.000 0.000 0.000
    9 5.724 5.704 5.662 5.603 5.529 5.445 5.349 5.245 5.135 5.025 4.900 4.757 4.595 4.414 4.207 3.972 3.701 3.391 3.031 2.588 2.018 1.198 0.000 0.000 0.000
   10 5.724 5.704 5.662 5.602 5.530 5.445 5.350 5.243 5.133 5.021 4.896 4.751 4.589 4.403 4.196 3.954 3.683 3.366 2.991 2.532 1.937 1.018 0.000 0.000 0.000
   11 5.720 5.700 5.657 5.598 5.525 5.439 5.343 5.239 5.128 5.014 4.889 4.743 4.582 4.393 4.180 3.938 3.664 3.339 2.961 2.493 1.873 0.883 0.000 0.000 0.000
   12 5.710 5.690 5.647 5.588 5.515 5.431 5.333 5.228 5.117 5.003 4.877 4.732 4.568 4.379 4.169 3.925 3.650 3.326 2.944 2.468 1.848 0.813 0.000 0.000 0.000
   13 5.696 5.676 5.632 5.573 5.500 5.415 5.319 5.212 5.102 4.988 4.863 4.718 4.554 4.365 4.155 3.917 3.636 3.315 2.936 2.469 1.849 0.846 0.000 0.000 0.000
   14 5.677 5.657 5.614 5.554 5.481 5.396 5.299 5.192 5.082 4.969 4.843 4.700 4.536 4.353 4.140 3.905 3.630 3.313 2.938 2.479 1.884 0.925 0.000 0.000 0.000
   15 5.654 5.634 5.590 5.530 5.457 5.372 5.275 5.170 5.060 4.948 4.821 4.680 4.518 4.335 4.125 3.893 3.625 3.311 2.948 2.504 1.931 1.034 0.000 0.000 0.000
   16 5.627 5.607 5.563 5.503 5.430 5.345 5.248 5.143 5.031 4.921 4.796 4.655 4.496 4.316 4.111 3.879 3.618 3.315 2.960 2.536 1.988 1.167 0.000 0.000 0.000
   17 5.598 5.577 5.532 5.473 5.399 5.313 5.218 5.115 5.003 4.891 4.768 4.627 4.471 4.292 4.094 3.868 3.607 3.311 2.971 2.555 2.032 1.282 0.000 0.000 0.000
   18 5.566 5.544 5.501 5.440 5.366 5.281 5.185 5.081 4.970 4.860 4.737 4.601 4.442 4.269 4.071 3.848 3.597 3.305 2.972 2.572 2.071 1.361 0.000 0.000 0.000
   19 5.532 5.511 5.467 5.406 5.333 5.247 5.151 5.048 4.938 4.828 4.705 4.566 4.414 4.242 4.046 3.824 3.576 3.294 2.965 2.574 2.085 1.411 0.000 0.000 0.000
   20 5.498 5.477 5.432 5.371 5.297 5.211 5.116 5.012 4.900 4.792 4.671 4.535 4.379 4.208 4.016 3.797 3.552 3.267 2.946 2.558 2.077 1.412 0.000 0.000 0.000
   21 5.465 5.443 5.398 5.336 5.262 5.177 5.080 4.976 4.866 4.756 4.635 4.499 4.345 4.175 3.979 3.760 3.515 3.237 2.912 2.524 2.048 1.383 0.000 0.000 0.000
   22 5.432 5.410 5.365 5.303 5.229 5.143 5.047 4.942 4.832 4.718 4.597 4.461 4.307 4.134 3.942 3.723 3.475 3.193 2.864 2.472 1.987 1.296 0.000 0.000 0.000
   23 5.402 5.380 5.334 5.273 5.197 5.111 5.013 4.908 4.797 4.683 4.562 4.426 4.269 4.094 3.898 3.676 3.425 3.140 2.803 2.403 1.901 1.161 0.000 0.000 0.000
   24 5.375 5.353 5.307 5.244 5.169 5.081 4.984 4.877 4.766 4.650 4.527 4.389 4.230 4.054 3.850 3.628 3.373 3.077 2.733 2.317 1.782 0.992 0.000 0.000 0.000
   25 5.352 5.329 5.283 5.221 5.144 5.056 4.957 4.850 4.736 4.620 4.497 4.354 4.193 4.012 3.808 3.576 3.314 3.011 2.648 2.212 1.639 0.657 0.000 0.000 0.000
   26 5.333 5.311 5.265 5.202 5.125 5.036 4.936 4.828 4.712 4.594 4.469 4.322 4.157 3.977 3.764 3.525 3.254 2.937 2.562 2.094 1.457 0.000 0.000 0.000 0.000
   27 5.320 5.298 5.252 5.188 5.110 5.022 4.920 4.810 4.694 4.576 4.445 4.298 4.129 3.940 3.724 3.479 3.198 2.866 2.473 1.973 1.290 0.000 0.000 0.000 0.000
   28 5.313 5.290 5.244 5.180 5.103 5.013 4.911 4.799 4.680 4.561 4.430 4.278 4.109 3.914 3.693 3.439 3.148 2.802 2.386 1.846 1.052 0.000 0.000 0.000 0.000
   29 5.311 5.289 5.242 5.179 5.100 5.010 4.907 4.795 4.677 4.556 4.420 4.266 4.092 3.895 3.667 3.407 3.106 2.746 2.307 1.730 0.784 0.000 0.000 0.000 0.000
   30 5.316 5.293 5.247 5.183 5.105 5.014 4.911 4.797 4.678 4.556 4.421 4.264 4.088 3.885 3.655 3.389 3.077 2.706 2.252 1.632 0.463 0.000 0.000 0.000 0.000
   31 5.326 5.304 5.258 5.194 5.116 5.024 4.921 4.807 4.687 4.564 4.429 4.272 4.093 3.888 3.654 3.382 3.063 2.689 2.216 1.572 0.000 0.000 0.000 0.000 0.000
   32 5.342 5.320 5.275 5.211 5.132 5.041 4.938 4.824 4.703 4.583 4.444 4.287 4.108 3.903 3.667 3.394 3.072 2.694 2.214 1.557 0.000 0.000 0.000 0.000 0.000
   33 5.363 5.342 5.296 5.233 5.155 5.063 4.961 4.849 4.727 4.606 4.469 4.312 4.133 3.928 3.695 3.422 3.100 2.719 2.246 1.597 0.000 0.000 0.000 0.000 0.000
   34 5.389 5.367 5.322 5.259 5.181 5.091 4.989 4.877 4.757 4.636 4.501 4.344 4.165 3.965 3.732 3.463 3.148 2.773 2.308 1.684 0.529 0.000 0.000 0.000 0.000
   35 5.419 5.397 5.352 5.289 5.213 5.122 5.022 4.910 4.790 4.672 4.537 4.385 4.208 4.009 3.778 3.515 3.207 2.843 2.397 1.804 0.859 0.000 0.000 0.000 0.000
   36 5.451 5.430 5.385 5.323 5.246 5.157 5.057 4.947 4.830 4.711 4.580 4.428 4.256 4.056 3.835 3.578 3.276 2.927 2.503 1.951 1.107 0.000 0.000 0.000 0.000
   37 5.486 5.465 5.420 5.358 5.283 5.194 5.095 4.985 4.872 4.755 4.623 4.476 4.307 4.115 3.894 3.646 3.358 3.019 2.614 2.102 1.372 0.000 0.000 0.000 0.000
   38 5.522 5.500 5.456 5.395 5.320 5.233 5.134 5.026 4.913 4.798 4.670 4.525 4.359 4.172 3.959 3.718 3.440 3.116 2.734 2.258 1.612 0.236 0.000 0.000 0.000
   39 5.558 5.536 5.492 5.431 5.358 5.271 5.174 5.069 4.955 4.842 4.716 4.573 4.412 4.231 4.024 3.789 3.521 3.210 2.847 2.403 1.821 0.885 0.000 0.000 0.000
   40 5.593 5.572 5.528 5.467 5.394 5.309 5.213 5.109 4.997 4.885 4.764 4.624 4.465 4.286 4.085 3.859 3.598 3.302 2.958 2.538 2.011 1.235 0.000 0.000 0.000
   41 5.626 5.605 5.562 5.502 5.429 5.344 5.251 5.146 5.039 4.927 4.806 4.670 4.516 4.340 4.145 3.922 3.671 3.389 3.056 2.661 2.172 1.498 0.000 0.000 0.000
   42 5.657 5.637 5.593 5.534 5.462 5.378 5.284 5.182 5.075 4.967 4.846 4.712 4.561 4.391 4.198 3.982 3.737 3.463 3.145 2.769 2.310 1.703 0.673 0.000 0.000
   43 5.685 5.665 5.621 5.563 5.491 5.408 5.315 5.214 5.107 5.001 4.884 4.750 4.599 4.434 4.244 4.034 3.796 3.529 3.219 2.859 2.425 1.862 0.996 0.000 0.000
   44 5.710 5.689 5.646 5.588 5.517 5.434 5.342 5.241 5.135 5.031 4.914 4.782 4.633 4.471 4.288 4.081 3.846 3.586 3.284 2.936 2.515 1.987 1.215 0.000 0.000
