Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 13.120 10.609 5.277 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 13.114 10.546 5.321 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 13.108 10.557 5.012 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 13.103 10.640 4.128 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    4 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 13.098 10.820 3.500 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    5 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 13.094 11.131 3.574 0.615 0.000 0.000 0.000 0.000 0.000 0.000
    6 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 13.091 10.220 3.598 0.846 0.000 0.000 0.000 0.000 0.000 0.000
    7 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 13.088 10.726 3.580 0.744 0.000 0.000 0.000 0.000 0.000 0.000
    8 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 10.738 3.508 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    9 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 10.510 3.674 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   10 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 13.086 10.381 4.898 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   11 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 13.087 10.323 5.276 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   12 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 13.089 10.331 5.281 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   13 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 13.092 10.403 4.889 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   14 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 13.096 10.551 3.447 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   15 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 13.101 10.803 3.586 0.377 0.000 0.000 0.000 0.000 0.000 0.000
   16 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 13.106 11.220 3.671 0.916 0.000 0.000 0.000 0.000 0.000 0.000
   17 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 13.113 10.593 3.708 1.014 0.000 0.000 0.000 0.000 0.000 0.000
   18 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 13.119 11.258 3.700 0.858 0.000 0.000 0.000 0.000 0.000 0.000
   19 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 13.127 10.921 3.648 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   20 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 13.134 10.731 4.057 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   21 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 13.141 10.632 5.249 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   22 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 13.148 10.610 5.679 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   23 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 13.155 10.661 5.705 0.000 0.000 0.000 0.000 0.000 0.000 0.000
