Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 9.980 9.980 9.980 9.980 9.980 9.980 9.445 9.031 8.673 8.325 7.964 7.583 7.173 6.725 6.229 5.665 5.018 4.248 3.256 1.717 0.000 0.000 0.000 0.000 0.000
    1 9.980 9.980 9.980 9.980 9.980 9.980 9.435 9.027 8.675 8.326 7.972 7.591 7.183 6.735 6.239 5.682 5.032 4.261 3.273 1.743 0.000 0.000 0.000 0.000 0.000
    2 9.980 9.980 9.980 9.980 9.980 9.980 9.417 9.018 8.669 8.326 7.969 7.593 7.188 6.745 6.256 5.701 5.065 4.309 3.344 1.898 0.000 0.000 0.000 0.000 0.000
    3 9.980 9.980 9.980 9.980 9.980 9.980 9.392 9.004 8.658 8.316 7.966 7.592 7.189 6.752 6.271 5.729 5.106 4.371 3.459 2.142 0.000 0.000 0.000 0.000 0.000
    4 9.980 9.980 9.980 9.980 9.980 9.980 9.364 8.986 8.643 8.305 7.957 7.585 7.190 6.761 6.285 5.759 5.156 4.457 3.598 2.418 0.000 0.000 0.000 0.000 0.000
    5 9.980 9.980 9.980 9.980 9.980 9.980 9.334 8.964 8.626 8.290 7.943 7.581 7.188 6.767 6.306 5.792 5.216 4.549 3.744 2.683 0.515 0.000 0.000 0.000 0.000
    6 9.980 9.980 9.980 9.980 9.980 9.980 9.305 8.941 8.606 8.276 7.932 7.573 7.188 6.775 6.326 5.831 5.275 4.641 3.884 2.924 1.382 0.000 0.000 0.000 0.000
    7 9.980 9.980 9.980 9.980 9.980 9.839 9.278 8.920 8.588 8.259 7.921 7.565 7.190 6.785 6.345 5.865 5.330 4.720 4.009 3.125 1.837 0.000 0.000 0.000 0.000
    8 9.980 9.980 9.980 9.980 9.980 9.763 9.255 8.903 8.574 8.248 7.911 7.562 7.187 6.793 6.361 5.891 5.376 4.791 4.110 3.286 2.151 0.000 0.000 0.000 0.000
    9 9.980 9.980 9.980 9.980 9.980 9.719 9.237 8.889 8.562 8.237 7.903 7.556 7.191 6.799 6.377 5.916 5.410 4.844 4.193 3.405 2.359 0.000 0.000 0.000 0.000
