Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 12.818 11.517 10.039 8.689 6.889 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.813 12.813 12.813 12.813 12.813 12.813 12.813 12.813 12.813 12.813 12.813 12.813 12.813 12.813 11.503 10.041 8.695 6.905 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 12.808 11.407 9.988 8.652 6.848 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 12.803 11.252 9.886 8.566 6.755 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.799 12.799 12.799 12.799 12.799 12.799 12.799 12.799 12.799 12.799 12.799 12.799 12.799 12.799 11.061 9.760 8.464 6.692 1.805 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.795 12.795 12.795 12.795 12.795 12.795 12.795 12.795 12.795 12.795 12.795 12.795 12.795 12.795 10.863 9.628 8.365 6.690 2.628 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.792 12.792 12.792 12.792 12.792 12.792 12.792 12.792 12.792 12.792 12.792 12.792 12.792 12.792 10.679 9.499 8.287 6.730 3.358 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.789 12.078 10.520 9.397 8.235 6.797 4.090 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.788 12.788 12.788 12.788 12.788 12.788 12.788 12.788 12.788 12.788 12.788 12.788 12.788 11.769 10.395 9.315 8.200 6.858 4.662 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.787 12.787 12.787 12.787 12.787 12.787 12.787 12.787 12.787 12.787 12.787 12.787 12.787 11.578 10.305 9.260 8.182 6.912 5.009 0.000 0.000 0.000 0.000 0.000 0.000
